Title,Authors,Year,Abstract,DOI,Publisher,citations,source,Keywords,product type,afiliacion_primer_autor,Journal
Lying and deception with visual evoked potentials,E. Micheli-Tzanakou; A. Eugene; M. Tan; K. Kim,2004,"The recent urgency for counterterrorism and the fight to protect ones' homeland are of grave concern to nations throughout the world. Finding an efficient process that could have screened passengers prior to boarding a flight or even a train may have derailed many devastating events. Scientific research has continuously proved that there is an explicit marker of neuronal activity that correlates with awareness, past experience, and short-term interactions from the well-known P300 peak of an evoked potential. This study examines the effects of memory recognition to certain key stimuli mixed with irrelevant variables in an effort to identify if a trained terrorist, per se, could not only be identified from a group of subjects, but also validate that the willingness to withhold information is out of the control of the individual; it's simple, one has no control in concealing their brain's activity.",10.1109/CIHSPS.2004.1360210,IEEE,0.0,IEEE,,IEEE Conferences,Italy,Science Advances
Exploring the Interplay of Computational Thinking and Mathematics in Early Childhood Education: A Systematic Review,Y. Zhang; G. K. W. Wong,2024,"In recent years, educational research has emphasized the significance of computational thinking (CT) and mathematics knowledge acquisition for students' learning in engineering subjects. Pre-college education plays a crucial role in preparing students for future engineering learning. While the relationship between CT and mathematics has been extensively studied at the K-12 level, limited attention has been given to early childhood education (ECE) contexts. Our research aims to investigate the potential development of early CT through mathematics learning in a potentially reciprocal manner using developmentally appropriate educational tools and instructional approaches. To commence this exploration, our primary focus is to conduct a systematic review of existing empirical studies, synthesizing evidence to illuminate the interaction between CT and mathematics during early childhood. Using the seven powerful ideas from early CT proposed by Bers as the theoretical framework, our initial findings indicate that algorithms, hardware/software, and representation are the most studied CT competencies intersecting with early mathematics skills, including numerical and spatial knowledge, measurements, basic algebraical thinking, and data processing. The complex relationship between early CT and mathematics, in general, is also discussed. Overall, the findings of this study suggest that existing mathematics education in early childhood may foster the development of CT in young children. Although this study is preliminary, it serves as a valuable foundation for future research endeavors in uncovering the interdisciplinary nature of early CT within mathematics-integrated learning contexts, thus contributing to the advancement of this field.",10.1109/EDUCON60312.2024.10578653,IEEE,0.0,IEEE,Computational thinking;Mathematics;Early childhood education;STEM;STEAM,IEEE Conferences,Spain,PLOS ONE
Efficacy of a ‘Misconceiving’ Robot to Improve Computational Thinking in a Collaborative Problem Solving Activity: A Pilot Study,U. Norman; A. Chin; B. Bruno; P. Dillenbourg,2022,"Robot-mediated learning activities are often designed as collaborative exercises where children work together to achieve the activity objectives. Although miscommunications and misunderstandings occur frequently, humans, unlike robots, are very good at overcoming them and converging to a shared solution. With the aim of equipping a robot with these abilities and exploring its effects, in this article we investigate how a humanoid robot can collaborate with a human learner to construct a shared solution to a problem via suggesting actions and (dis)agreeing with each other. Concretely, we designed a learning activity aiming to improve the computational thinking skills of children, in which the robot makes suggestions on what to do, that may be in line with what the human thinks or not. Furthermore, the robot may suggest wrong actions that could essentially prevent them from finding a correct solution. Via a pilot study conducted remotely with 9 school children, we investigate whether the interaction results in positive learning outcomes, how the collaboration evolves, and how these relate to each other. The results show positive learning outcomes for the participants in terms of finding better solutions, suggesting that the collaboration with the robot might have helped trigger the learning mechanisms.",10.1109/RO-MAN53752.2022.9900775,IEEE,0.0,IEEE,human-robot interaction;mutual understanding;collaborative learning;computational thinking,IEEE Conferences,Canada,Journal of Computer Science
Koding4Kinder: Teaching Computational Thinking to Pupils Using a Combination of Programming and Electronics Platforms,N. Sharaf; G. Ahmed; A. Adel; S. Abdennadher; K. Berkling,2019,"Programming has become a crucial skill in today’s world. Technology and computers are basically part of anything now. President Obama once referred to the importance of children learning programming: “I do not want our young people to just be consumers, I want them to be producers of this technology and to understand it, to feel like they are controlling it, as opposed to it controlling them.” It is thus an increasing need for an individual to know how to write their own programs. With the increasing dependency on computation, one can anticipate such skills being a requirement for most jobs in the coming years. There is a lot of effort done in this area, however most of them focused on either software or hardware track. The aim of this work is to test if using a hybrid approach for teaching K-12 students programming by combining both software and hardware techniques is more effective than using a singleton approach.",10.1109/EDUCON.2019.8725223,IEEE,1.0,IEEE,,IEEE Conferences,USA,Computers & Education
The Development of Instructional Model for Engineering Materials Course by using Concept Mapping to Enhance Computational Skills,K. Surpare; C. Seetao,2021,"The research aimed 1) to develop a instructional model: Engineering Materials course by using a concept mapping to enhance computational skills, 2) To study the effect of using the instructional model: Engineering Materials course by using a concept mapping to enhance computational skills. Research tools used in this study were 1) learning management plan, 2) a computational skill knowledge test and 3) a questionnaires on satisfaction toward the instructional model. Data were analyzed using statistics percentages, mean, standard deviation and dependent t-test. The results of this research were as follows 1) the efficiency analysis results of the instructional model developed by the researcher have E1/E2 efficiency of 81.54/73.08. 2) The computational skills of the students after applying instructional model: Engineering Materials course by using a concept mapping was statistically significant at. 01 level and higher than pre-learning. 3) The students opinion toward instructional model: Engineering Materials course by using a concept mapping was the good level.",10.1109/iSTEM-Ed52129.2021.9625102,IEEE,0.0,IEEE,Computational skills;Concept Mapping,IEEE Conferences,USA,Computers & Education
Software clones in scratch projects: on the presence of copy-and-paste in computational thinking learning,G. Robles; J. Moreno-León; E. Aivaloglou; F. Hermans,2017,"Computer programming is being introduced in schools worldwide as part of a movement that promotes Computational Thinking (CT) skills among young learners. In general, learners use visual, block-based programming languages to acquire these skills, with Scratch being one of the most popular ones. Similar to professional developers, learners also copy and paste their code, resulting in duplication. In this paper we present the findings of correlating the assessment of the CT skills of learners with the presence of software clones in over 230,000 projects obtained from the Scratch platform. Specifically, we investigate i) if software cloning is an extended practice in Scratch projects, ii) if the presence of code cloning is independent of the programming mastery of learners, iii) if code cloning can be found more frequently in Scratch projects that require specific skills (as parallelism or logical thinking), and iv) if learners who have the skills to avoid software cloning really do so. The results show that i) software cloning can be commonly found in Scratch projects, that ii) it becomes more frequent as learners work on projects that require advanced skills, that iii) no CT dimension is to be found more related to the absence of software clones than others, and iv) that learners -even if they potentially know how to avoid cloning- still copy and paste frequently. The insights from this paper could be used by educators and learners to determine when it is pedagogically more effective to address software cloning, by educational programming platform developers to adapt their systems, and by learning assessment tools to provide better evaluations.",10.1109/IWSC.2017.7880506,IEEE,30.0,IEEE,,IEEE Conferences,USA,IEEE Transactions on Software Engineering
Adaptation of a Research-based Teaching-Learning Format with Approaches of Online Learning in the STEM Field,C. Hösel; M. Heinzig; R. Vogel; C. Roschke; A. Kühn; F. Schmidsberger; M. Vodel; M. Ritter,2022,"Research-based learning (RBL) familiarizes students with the academic research process at an early stage and at the same time offers them the opportunity to actively shape their own learning process. Working on their own research problems allows students to go through the entire research cycle, which promotes not only subject and methodological competencies but also the students' self-competencies. The handling of subject-specific and didactic challenges of this form of teaching-learning has been discussed many times in the past. New challenges for research-based learning now arise from the shift of teaching and learning to virtual space associated with the COVID-19 pandemic. This paper focuses on the adaptation of a research-based teaching-learning format to the demands of e-learning in the course Interaction Science with Artificial Intelligence. We evaluated the adapted teaching-learning format with 18 students in a master's program in STEM. The students stated an increase in professional competence in the areas of programming, data preparation and data visualization. Our results suggest that peer group and direct interaction via synchronous communication channels are important structural frameworks for research-based learning in an online learning context. From our results, we can derive initial implications for online-based RBL in the field of computational education.",10.1109/ICECCME55909.2022.9988046,IEEE,0.0,IEEE,Research-based Learning;E-learning;STEM Field;Computational Education;Higher Order Thinking Skills,IEEE Conferences,Brazil,Science Advances
Inspiring Computational Thinking: A Science Fair Activity,M. Daniels; A. Pears; A. Nylén,2021,"This Research Full Paper introduces a model for structuring playful, challenge-based learning activities drawing on a process of decontextualisation of a challenge to access its Computational Thinking intellectual and conceptual components and subsequent computationalisation of these components into computational artifacts that are recontextualised to render them attractive and accessible to school pupils. The case study follows a thick description approach to evaluating the engagement potential of the instructional design, as well as the didactic choices made during implementation. We conclude that Bebras cards and Dash robots provide considerable support for a playful engagement with computational concepts and engaging children with different scientific backgrounds in Computational Thinking. In particular, flexibility in how they are used and easy adaptation of challenge level make them useful in contexts with broad participation. Additionally we find that using robots to provide a link between the theoretical presentation of CT in the Bebras card and a physical representation and programming challenge is engaging and helps participants to focus on algorithmic concepts.",10.1109/FIE49875.2021.9637141,IEEE,0.0,IEEE,computational thinking;science fair;school education,IEEE Conferences,Germany,Science Advances
The Waste Separation Game to Promote Computational Thinking Through Mixed Reality Technology,W. Phatarametravorakul; S. Cheevanantaporn; P. Jamsri,2022,"The primary issue of garbage is its direct impact on the environment and quality of life. Several types of trash have piled up in Thailand. Many individuals don’t use the correct way of waste management because they have lacked knowledge and understanding of how to sort rubbish since childhood. To increase the possibility to fully utilize the knowledge of waste separation correctly, the researcher aims to promote computational thinking through the learning of a game called “Trashman”. This game simulates various objects for situations of sorting garbage into the appropriate sorting bin. Trashman has 3 levels in the game. Each level increases the number of bins and the amount of garbage, starting from level 1-3 which refers to easy, moderate, and difficult levels, respectively. The level indicates the error of separating the waste if putting it into a wrong bin type. The educating about different types of waste separation through the game utilizes Mixed Reality (MR) technology of the Magic Leap One device. The developer’s expectation for an alternative learning medium in the form of a game is to allow players to apply their knowledge by practicing computational skills by sorting garbage correctly. The game evaluates and summarizes scores of each level at the game’s end. This will evaluate player’s performance of CT through their ability separating trash. Moreover, the Sustainable Development Goals can be applied for lifelong learning to follow-up and assessment in furtherance of correct trash sorting.",10.1109/ICITEE56407.2022.9954123,IEEE,2.0,IEEE,Waste Separation;Mixed Reality Technology;Environment;Computational Thinking,IEEE Conferences,India,Journal of Machine Learning Research
Engineering and Computational Thinking talent in middle school students: A framework for defining and recognizing student affinities,J. Cross; E. Hamner; L. Zito; I. Nourbakhsh,2016,"In this paper we describe our process for synthesizing frameworks for recognizing student talents in the areas of Computational Thinking (CT) and Engineering Design (ED) from prior research. Computer science education research has resulted in multiple, overlapping definitions of CT as an approach towards solving problems using methods and tools that are derived from computer science. Our development of operationalized definitions of CT talent for middle school educators is focused on uniting models for CT in a simplified structure. Our ED definition framework builds on multiple distinct models of the engineering design process along with concepts from systems engineering models and the design thinking process. We operationalize these frameworks to provide teachers with metrics and examples for recognizing and assessing the CT and ED skills of their students in non-technical classes. By training teachers to evaluate students' processes from the perspective of an engineer and computer scientist, teachers are more able to help their STEM-inclined students recognize the alignments between their own talents and possible careers. Through the analysis of teacher surveys and interviews from 19 classroom implementations, we evaluated the changes that the Arts & Bots program has had on teacher perceptions of student CT and ED skills and talents.",10.1109/FIE.2016.7757720,IEEE,14.0,IEEE,transdisciplinary;middle school;engineering pipeline;underrepresentation;educational robotics,IEEE Conferences,USA,Journal of Computer Science
Algorithmic Expressions for Assessing Algorithmic Thinking Ability of Elementary School Children,Y. Oomori; H. Tsukamoto; H. Nagumo; Y. Takemura; K. Iida; A. Monden; K. -i. Matsumoto,2019,"This Research to Practice Full Paper presents the development of the algorithmic expressions for the assessment tools for assessing algorithmic thinking ability of elementary school children. In Japan, elementary school children will be required to learn computer programming as an interdisciplinary element appearing throughout the curriculum in 2020. The purpose of this programming education is to nurture Computational Thinking (CT) for elementary school children in Japan. However, almost no discussion has been conducted in Japan on how to measure the level of CT an elementary school child has acquired. Since the definition of CT is not very firm, it is not easy to measure the levels of CT. Therefore, several organizations have issued operational definitions of CT. Among the concepts of CT in those operational definitions, Algorithmic Thinking was chosen as a representative of CT, and the assessment tools for evaluating Algorithmic Thinking ability have been developed in this research. The assessment tool was conducted in the experimental Computer Science Unplugged classes and in the control classes in two elementary schools in Japan. There were in total 152 children in the classes, and all of them were 5th grade children. By answering the questions in the assessment tool, each child got a score between 0 and 15. The scores were statistically analyzed.",10.1109/FIE43999.2019.9028486,IEEE,1.0,IEEE,algorithmic thinking;algorithmic expression;assessment;elementary school children,IEEE Conferences,Brazil,ACM Transactions on Graphics
Seizing the SPOC opportunity and promoting reform of university computer foundation teaching in independent colleges,R. Juan,2017,"Faced with the new reality of reform of university computer foundation and teaching, independent colleges have proposed reforms upon university computer foundation teaching in the content, model, methods and management, which are centered around computational thinking, targeted at “enhance foundation, application-orientation, and stress computational thinking and promote students' creativity and innovation”. By constructing teaching contents which emphasize the application and practicality, and adopting SPOC integrated teaching model and emphasizing diversity of teaching methods, such reforms can not only spur students' initiative and enthusiasm in learning, but also improve their problem solving and innovation.",10.1109/ICCSE.2017.8085552,IEEE,0.0,IEEE,university computer foundation;SPOC;computational thinking;independent colleges,IEEE Conferences,India,Computers & Education
Developing a C-UMC Model for SW Education Program Using Metaverse,J. Moon; Y. Kim; S. B. Kim,2023,"Recently, metaverse have been used in education to improve learners' interest and engagement. In particular, there have been studied various educational models such as theory, practice, and project classes in SW education programs. In this study, we aim to verify whether the SW education program has a significant effect on computational thinking and communication skills by using the communication-centered model (C-UMC), which centers on ‘communication’ as one of the characteristics of the metaverse. The SW education program applied in this study targets 23 high school students and is conducted for 16 sessions (2 hours × 8 sessions). This study is an ongoing research, and we presented the design process for conducting the study, as well as the current classroom process and preliminary results. For further study, we will perform an effectiveness analysis on whether there was a significant difference in learners' computational thinking and communication skills.",10.1109/WAIE60568.2023.00012,IEEE,0.0,IEEE,Metaverse;C-UMC;SW Education;Computational Thinking,IEEE Conferences,France,Nature Communications
"Computational, model thinking and computer coding for U.S. Common Core Standards with 6 to 12 year old students",K. Mensing; J. Mak; M. Bird; J. Billings,2013,"The United States (U.S.) is going through a preschool through 12th grade education transition to Common Core State Standards (CCSS), initially English Language Arts (ELA) and Mathematics (Math). Computational and model thinking can lead to a practice of computer coding where many of the necessary shifts in learning the ELA and Math standards can be incorporated. A new initiative by Paradise Valley Unified School District (PVUSD) to teach coding to K-8 students, and the requisite computational/model thinking through CCSS activities and lesson plans is provided. Three Gifted Education teachers (1st/2nd grades, 3rd/4th grades, 5th/6th grades) and the Information Technology Director articulate and showcase some explorations of teaching computer coding. The teachers and their students have been exposed to a variety of computational/model thinking activities and web portals/platforms (e.g., Codecademy, Scratch, App Inventor, Khan Academy, etc.), IOS/Android Apps, and web sites as listed at http://ccc.pvlearners.net. All students have access to tablets, Chromebooks, and TelePresence units to facilitate their creation and collaboration in coding.",10.1109/ICETA.2013.6674397,IEEE,2.0,IEEE,,IEEE Conferences,Italy,Journal of Machine Learning Research
ACKNOWLEDGMENTS,P. J. Denning; M. Tedre,2019,"Peter: Many thanks to Dorothy Denning, my wife, who listened to my many speeches about computing for nearly 50 years and kept me channeled in productive directions. Much appreciation to my friend Fernando Flores, for teaching me how to read history for the concerns that emerge from it and thus discern different stages of computational thinking over the centuries. To the founders of computing and computing education whom I met through ACM, including Eckert, Mauchly, Perlis, Newell, Simon, Forsythe, Conte, Wilkes, Hamming, Knuth, and Dijkstra. To my teachers at MIT who turned this electrical engineer into one of the first holders of a computer science degree, especially Fano, Corbato, Dennis, Saltzer, Scherr, and Zadeh. To my many colleagues in computer science and engineering over the years, too numerous to mention by name here, who engaged me in edifying conversations about computing.",,MIT Press,0.0,IEEE,,MIT Press eBook Chapters,UK,IEEE Transactions on Software Engineering
Commonsense Knowledge as the Glue in a Hybrid Model of Computational Creativity,A. Gomez De Silva Garza; E. Cambria; R. Perez y Perez,2014,"In this paper, we describe on-going work on the ensemble of two models for computational creativity using commonsense knowledge. The GENCAD model of computational creativity proposes the use of an evolutionary algorithm (EA) that employs a population of exemplars as a starting point for its search, unlike traditional EAs, which employ a randomly-generated initial population. The EA, operating on this population, is then used to generate new potentially creative solutions. GENCAD has been instantiated in the domains of structural design of tall buildings and feng shui-compliant residential floor-plan design. The MEXICA model of computational creativity also begins with a set of exemplars as a starting point, but it analyzes these exemplars based on a domain theory. The generalized model that is obtained from analyzing the set of exemplars is then used to guide the generation of new solutions. MEXICA has been instantiated in the domain of plot generation for stories involving themes, characters and locations from the Mexica culture of ancient Mexico. In the hybrid model, we combine the two original models to generate plots for stories of the same sort that MEXICA generates, but using GENCAD's process model to do so. To confirm that the generated plots make sense, the hybrid model integrates commonsense knowledge into its evaluation module.",10.1109/ICDMW.2014.178,IEEE,0.0,IEEE,Commonsense knowledge;computational creativity;plot analysis and generation,IEEE Conferences,Italy,Science Advances
Approaches For Automation In Assisting Evaluator For Grading Of Answer Scripts: A Survey,R. G. Patil; S. Z. Ali,2018,"Student who possess several qualities of intelligence and critical thinking skills are believed to think independently. To develop overall skills for a student, it is required that a student demonstrate his knowledge, skills, and abilities in a various ways i.e., through multiple choice questions, fill the gaps, problem solving, short and long answers. Assessment of short and long/essay answers is hectic and tedious tasks for several teachers. Learning Management Systems provide an opportunity to learn online. To develop critical thinking in an online environment, it is necessary to conduct exams and assessment online. Most online LMS tools support assessment through multiple choice questions, but these tools test only higher order thinking skills. Many researchers have tried to provide a system to automatically assess short and long/essay answers using several different approaches. The objective of survey is to highlight problems associated with the evaluator, discuss difficulties and limitations of online tools. In this literature, the methodologies used to develop various models of short answer grading given by several authors and their results are discussed. This paper highlights drawbacks/difficulties with automatic short answers grading. Authors tried to discuss the scope for researchers in this field of automated grading using machine learning algorithms. Authors recommend researchers to conduct an experiment in hybrid and feedback supported systems for grading answers.",10.1109/CCAA.2018.8777664,IEEE,3.0,IEEE,automated short answer grading;recommends;sentence detection;machine learning,IEEE Conferences,Germany,Journal of Machine Learning Research
Critical Systems Thinking,M. C. Jackson,2024,"Summary <p>Critical Systems Thinking (CST) is a systems approach that aims to assist decision‐makers to better understand and address the complex issues they face. This chapter looks at the origins and early development of CST. A brief account of the state of Systems Thinking (ST) in the early 1980s is necessary to discern the reasons for the emergence of the approach. The development of CST is then traced to 1991. By that time, it had become formalised around a set of three commitments, to which it has largely remained true. The first, ‘systemic critique’, insists that all systems approaches are partial, and this leads to their different strengths and weaknesses. The second, ‘systemic pluralism’, suggests that the maximum benefit can be obtained by using systems methodologies in combination during an intervention. The third, ‘systemic improvement’, explains what improvement means in systems terms and how it can be pursued. The case is then made for CST to embrace a fourth commitment, to ‘systemic pragmatism’. It is argued that this can support the other three and take CST forward.</p>",10.1002/9781394203604.ch3,Wiley,0.0,IEEE,,Wiley Telecom eBook Chapters,Chile,Journal of Computer Science
Smart City Kids Lab: Creative Computing in Primary School,C. A. Gomes; H. Gomes; B. Rego; B. Sousa; M. Loureiro; P. Rocha,2019,"In recent years there is a growing interest in including programming activities in education, emphasizing the importance of children developing computer thinking since early ages. Block-based programming environments scaffold children to explore and learn programming in an easier way. In this paper we present a project supported by a theoretical framework that mobilizes constructionism, the maker movement, tinkering, and project-based learning, and a practical framework based on workshops with primary teachers. Primary school children developed computational thinking and creative computing skills, while they design and present ideas to turn their city a smart city. Results show the quality of the products developed using programming and robots and the impact that this approach can have in authentic learning.",10.1109/SIIE48397.2019.8970130,IEEE,1.0,IEEE,Computational Thinking;Creative Computing Robotic;Project-Based Learning;Primary Schools,IEEE Conferences,Australia,Nature Communications
Bridging K–12 Mathematics and Computational Thinking in the Scratch Community: Implications Drawn From a Creative Learning Context,Z. Xie; G. K. W. Wong; D. K. W. Chiu; J. Lei,2023,"This study analyzes 15,453 math topic-based Scratch projects of the online Scratch community to find the relations among K–12 math topics, usage of 13 programming elements, and project popularity. Among the six math topics, only statistics and calculus significantly contribute to projecting popularity. In addition, noncore programming elements, including sound and look, are widely adapted across various math topics and contribute significantly to project popularity. Although some studies discussed the integration of computation thinking (CT) and math in the classrooms, scant research focuses on the effect of math topics on CT element adoption for achieving better integration in the creative learning context. Moreover, few studies involve a large sample size for generalizable findings.",10.1109/MITP.2023.3243393,IEEE,13.0,IEEE,,IEEE Magazines,Chile,PLOS ONE
Assessing primary school students' intrinsic motivation of computational thinking,S. Jiang; G. K. W. Wong,2017,"Intrinsic Motivation Inventory is a self-report instrument used to assess participants' experience regarding a particular activity. This paper examined the psychometric properties of a revised Intrinsic Motivation Inventory in the context of computational thinking learning. A total of 400 students from 4th grade participated in the pilot study. The revised instrument measured students' intrinsic motivation from four dimensions: interest/enjoyment, perceived competence, value/usefulness, and relatedness. The main findings of the study are twofold: (1) primary school students showed moderate to high motivation to learn computational thinking through programming and CS Unplugged; (2) factor analysis revealed that single factor model and multifactor model had good fit indices. However, discriminant validity of multifactor model was poor, suggesting the existence of a general factor.",10.1109/TALE.2017.8252381,IEEE,11.0,IEEE,Intrinsic Motivation Inventory;intrinsic motivation;factor analysis;computational thinking,IEEE Conferences,Mexico,Computers & Education
Enhancing Stanford Design Thinking for Kids with Digital Technologies A Participatory Action Research Approach to Challenge-Based Learning,R. Motschnig; D. Pfeiffer; A. Gawin; P. Gawin; M. Steiner; L. Streli,2018,"Can digital competencies be acquired by solving real problems? The educational intervention MadeByKids called an external educational provider to 17 schools to conduct a series of workshops, having pupils age 7 - 12 solve challenges such as designing the schoolbag 4.0 or the future classroom. The workshops were designed by adopting the Stanford Design Thinking Method for Kids (http://www.ideaco.org) and digital technologies with the goal to “teach” children computational thinking, collaborating in teams, resolving conflicts, presenting, giving/receiving feedback, etc. In this paper, we take a participatory action research (PAR) approach with the goal of exposing significant chunks of the incredibly rich experience. A content analysis of a qualitative survey among teachers and findings from a focus group reflect the teachers' view. The study indicates that the acquisition of digital competences needs to be backed by personal and social capacities that take time to mature. Furthermore, we learned that the children's teachers must be included consistently to ensure their cooperation and improve sustainability. Besides providing inspiration for teachers, implications for teacher education are derived and the national project is related to the findings from studies conducted abroad in order to contribute to constructive educational innovations crossing national boundaries.",10.1109/FIE.2018.8658859,IEEE,5.0,IEEE,21st century competences;digital competences;design thinking;computational thinking;school;challenge;teacher education;sustainability,IEEE Conferences,Italy,Computers & Education
Examining theoretical and pedagogical foundations of computational thinking in the context of higher education,F. J. Agbo; S. T. Yigzaw; I. T. Sanusi; S. S. Oyelere; A. H. Mare,2021,"This research paper examined theories, pedagogics, and contents explored by studies focusing on promoting computational thinking (CT) in higher education institutions (HEIs). CT has become a fundamental approach to building problem-solving skills, which requires a thought process. The field of CT is generally still maturing, and the use of CT as an approach to introduce freshmen to introductory programming courses in HEIs has been gaining scholars' interest in the recent past. To appreciate the strategies explored to promote teaching and learning of CT in HEIs; evaluate scholarly discussions, contributions, and potential impact of studies in this field, there is a need to ground the theoretical constructs that build the foundation for the field. A literature review methodology was adopted in this study. The data collected from the Web of Science, the Scopus, ACM, and ProQuest databases were analyzed to provide answers to the research questions. The findings from this study suggest that constructionism and constructivism are the prevailing learning theories explored by scholars in this field to deploy CT in HEI. Additionally, the study revealed that activity-based learning, problem-based learning, automatic assessment-based learning, and self-regulated or self-reflective learning are the prominent pedagogies used by educators. These findings provided a strong foundation for research in this growing field. Besides, the findings also create an opportunity for positioning CT in HEI's educational curriculum regarding how CT should be taught in that context.",10.1109/FIE49875.2021.9637405,IEEE,4.0,IEEE,Computational thinking;pedagogy;learning theory;higher education;university,IEEE Conferences,UK,Journal of Computer Science
Computational Thinking Activities in High Schools to Enhance Interest and Skills in Programming,I. S. Ahmad; T. Ying Sim; C. A. Talib; S. Lun Lau,2023,"While programming has been recognized as an engaging way to enhance students’ learning, implementing programming in K-12 education remains challenging, particularly when it requires access to digital devices or the internet. Therefore, it’s essential to consider more accessible methods for teaching crucial programming skills. Given this situation, we turned to unplugged computational thinking (CT) activities to foster interest and develop skills in programming. By introducing programming concepts through unplugged CT activities, this research significantly contributed to the growth of interest and the development of skills among secondary school students. Two hundred and thirty lower secondary school students volunteered to participate in the intervention using a designed unplugged CT activity framework. The CT activities framework consists of four components: puzzles, the Bebras Computing Challenge, problem-solving, and programming concepts. Four schools participated in three- to four-day interventions for four to five hours daily. Quantitative data collection was performed using pre- and post-surveys before and after the intervention phase. A paired sample t-test and Wilcoxon signed-rank tests indicated the p-value < 0.05 suggested a significant improvement in interest and programming skills. An overall findings implied that the unplugged CT activities enhanced students’ understanding of CT as well as improved their interest and programming skills.",10.1109/TALE56641.2023.10398308,IEEE,0.0,IEEE,computational thinking;programming;unplugged activities;lower secondary school students,IEEE Conferences,Mexico,PLOS ONE
"Nanotechnology as a Tool for Computational Thinking Skills using Open Hardware, Embedded Systems and Repository Platform, in Industry 4.0 Era",K. Kalovrektis; I. Dimos; A. Xanakis; A. Kakarountas,2023,"The advancement in Microelectromechanical System (MEMS) technology resulted in accurate and high-performance miniature device systems. These devices are so tiny that they are not noticeable by the human eye and exhibit excellent feasibility in miniaturization sensors due to their small dimensions, low power consumption, and superior performance. The area of sci-ence and engineering where MEMS are developed (dimensions in the manometer scale) is called Nanotechnology. Nanotechnology is one of the fastest growing scientific research related to Industry 4.0. Nanotechnology may introduce industrial skills deficits as well as opportunities for new teaching practices in several subjects and educational frameworks. In the present work, we investigate the attitude of STEM (i.e. technology/engineering) and non STEM - related instructors, regarding the integration of Nanotechnology applications in Higher education curricula. Their opinions, concerning the applied teaching method, the learning content material and expected student skills, should always be taken in to account, as they may boost any reformations proposed. Moreover, we propose a repository platform, with which instructors may interact with 3D designs and MEMs mate-rial to built their didactic plans. This work's findings is critical for the design and innovative training material and computational thinking (CT) activities, which will prepare student with skills related to Industry 4.0 demand.",10.1109/SEEDA-CECNSM61561.2023.10470788,IEEE,0.0,IEEE,Nanotechnology;MEMs;Industry 4.0;Computational Thinking;Open Hardware;Repository Platform,IEEE Conferences,USA,Nature Communications
Pic2Program - an Educational Android Application Teaching Computational Thinking,M. C. Utesch; N. D. Faizan; H. Krcmar; R. Heininger,2020,"Digital tools have become more essential in education and business areas these days and it is important to start in the early stages of education, e.g. already in the preschool stage. This paper describes the development and pilot testing of an Android based serious gaming App for mobile devices called Pic2Program. The App aims to teach children the basics of Computational Thinking (CT) in a playful way. The gameplay expects the young children to steer successfully their in-game character with the help of an intuitive symbol language through a set of increasingly complex mazes. The children may even draw sets of symbols by hand thus develop a basic program. Pic2Programs image recognition module will then process these symbols by first photographing them with an Android device and then using a neural network to map the photos to program instructions. The effectivity of Pic2Program on learning CT has been evaluated by a designed course for 9th, graders. The results show that students find the App well-structured and help them to understand the basics of programming.",10.1109/EDUCON45650.2020.9125087,IEEE,10.0,IEEE,computational thinking;solution-based thinking;education;IT-based learning;E-learning;M-Learning;Android;image recognition;young children;preschool children;cognitive development;problem solving,IEEE Conferences,Brazil,Computers & Education
Computational Thinking: Learning by Doing with the Cinco Adventure Game Tool,F. Gossen; D. Kühn; T. Margaria; A. -L. Lamprecht,2018,"Aspiring software developers, like the novice students in Computer Science courses, need to acquire a thorough understanding of fundamental computational concepts like sequential execution, conditional branching, loops, modularisation, hierarchy and reuse. This understanding and ""computational thinking"" is deepened when they encounter the concepts in different contexts and environments, as opposed to only in one traditional programming language. In this paper, we describe how we used the Cinco Adventure Game Tool, a tool that allows students to model simple browser games in an intuitive graphical framework, to train basic computational concepts in a creative and engaging, learning-by-doing fashion. On purpose, we steered away from traditional programming languages, in order to separate the use of the concepts and constructs from the hurdle of a programming language syntax and development environment. The experiences with a large group of first-term Computer Science students in two successive years were very positive: The students had no problems in understanding and using the concepts, used the tool proficiently and enjoyed designing and modelling the games. Working together on a game project in small groups, they showed sustained engagement, developed a high level of confidence, and created quite complex games containing various fundamental computational constructs.",10.1109/COMPSAC.2018.00175,IEEE,13.0,IEEE,"Computer science education, Computational thinking, Model-driven development",IEEE Conferences,Canada,Computers & Education
A Computational Approach to Understand the Human Thought Process,J. Dundas; M. Ling,2023,"The aim of this paper is to understand the human mind functions such that we can simulate them into a computational model for making cognitive systems more intelligent. We then present this model with formulae using a top-down approach. We propose that the human thought process, which is the fundamental unit for the human mind and all the different emotions coming from it, can be implemented as a mathematical formula to a reasonable extent. Furthermore, we argue that our model has the ability to derive mind functions such as dreams and thinking. The model utilizes a top-down approach for understanding the factors involved in the thought process while explaining the factors involved. The authors are intending to make continuous improvements in the formulae as more scientific advances happen in the understanding of the human cognitive functions.",10.1109/ICE3IS59323.2023.10335478,IEEE,0.0,IEEE,human thoughts;cognitive systems;formulae;neuro-modeling;top-down approach;computational intelligence;machine learning;neurons,IEEE Conferences,Brazil,IEEE Transactions on Software Engineering
