Format,Title,Collections,Subjects,ISBN,Online ISBN/EISSN,DOI, Results Count,Abstract Random English,afiliacion_primer_autor,journal
Journal,European Journal of Orthodonticssignificance,Journals,Restorative Dentistry and Orthodontics,,1460-2210,https://academic.oup.com/ejo,55.0,This study explores the complex interactions between technology and society.,National University of Singapore,Journal of Computer Science
Journal,European Journal of Preventive Cardiologysignificance,"ESC Publications, Journals",Cardiovascular Medicine,2047-4873,2047-4881,https://academic.oup.com/eurjpc,81.0,Exploration of the relationship between social media and mental health.,Imperial College London,Computers & Education
Journal,European Journal of Public Healthsignificance,Journals,"Economics of Health, Health, Illness, and Medicine, Public Health and Epidemiology",,1464-360X,https://academic.oup.com/eurpub,312.0,Analysis of the evolution of cybersecurity strategies.,University of Melbourne,PLOS ONE
Journal,European Journal of Surgerysignificance,,"Medicine and Health, Surgery",,1741-9271,https://academic.oup.com/ejs,72.0,This study explores the complex interactions between technology and society.,University of Oxford,IEEE Transactions on Software Engineering
Journal,European Review of Agricultural Economicssignificance,Journals,"Agricultural, Environmental, and Natural Resource Economics",0165-1587,1464-3618,https://academic.oup.com/erae,179.0,This study explores the complex interactions between technology and society.,Tsinghua University,IEEE Transactions on Software Engineering
Journal,European Review of Economic Historysignificance,Journals,Economic History,1361-4916,1474-0044,https://academic.oup.com/ereh,64.0,Exploration of the relationship between social media and mental health.,ETH Zurich,Journal of Computer Science
Journal,European Sociological Reviewsignificance,Journals,Sociology,0266-7215,1468-2672,https://academic.oup.com/esr,260.0,Study on the influence of artificial intelligence in the economy.,University of Cambridge,PLOS ONE
Journal,Evolutionsignificance,Journals,"Biological Sciences, Evolutionary Biology, Science and Mathematics",0014-3820,1558-5646,https://academic.oup.com/evolut,507.0,A critical examination of environmental policies and their effectiveness.,Stanford University,Computers & Education
Journal,Evolution Letterssignificance,Journals,"Biological Sciences, Evolutionary Biology, Science and Mathematics",,2056-3744,https://academic.oup.com/evlett,23.0,Study on the influence of artificial intelligence in the economy.,University of Tokyo,Journal of Computer Science
Journal,"Evolution, Medicine, and Public Healthsignificance",Journals,"Evolutionary Biology, Public Health and Epidemiology",,2050-6201,https://academic.oup.com/emph,34.0,A critical examination of environmental policies and their effectiveness.,Columbia University,PLOS ONE
Journal,Evolutionary Journal of the Linnean Societysignificance,Journals,"Biological Sciences, Botany, Evolutionary Biology, Genetics and Genomics, Science and Mathematics",,2752-938X,https://academic.oup.com/evolinnean,5.0,Analysis of the evolution of cybersecurity strategies.,MIT,Computers & Education
Journal,Exposomesignificance,Journals,"Medical Toxicology, Public Health and Epidemiology, Toxicology (Non-medical)",,2635-2265,https://academic.oup.com/exposome,2.0,Exploration of the relationship between social media and mental health.,National University of Singapore,IEEE Transactions on Software Engineering
Journal,Family Practicesignificance,Journals,Primary Care,,1460-2229,https://academic.oup.com/fampra,401.0,Case study on the use of renewable energy in rural communities.,Peking University,Journal of Machine Learning Research
Journal,FEMS Microbessignificance,"FEMS Journals, Journals",Microbiology,,2633-6685,https://academic.oup.com/femsmicrobes,2.0,A critical examination of environmental policies and their effectiveness.,University of Cambridge,PLOS ONE
Journal,FEMS Microbiology Ecologysignificance,"FEMS Journals, Journals",Microbiology,0168-6496,1574-6941,https://academic.oup.com/femsec,57.0,A review of innovative methods in science teaching.,Harvard University,PLOS ONE
Journal,FEMS Microbiology Letterssignificance,"FEMS Journals, Journals",Microbiology,0378-1097,1574-6968,https://academic.oup.com/femsle,80.0,Study on the influence of artificial intelligence in the economy.,University of Cambridge,Nature Communications
Journal,FEMS Microbiology Reviewssignificance,"FEMS Journals, Journals",Microbiology,0168-6445,1574-6976,https://academic.oup.com/femsre,62.0,Exploration of the relationship between social media and mental health.,Tsinghua University,Computers & Education
Journal,FEMS Yeast Researchsignificance,"FEMS Journals, Journals",Microbiology,1567-1356,1567-1364,https://academic.oup.com/femsyr,24.0,This study explores the complex interactions between technology and society.,University of Hong Kong,Journal of Computer Science
Journal,Food Quality and Safetysignificance,Journals,Science and Mathematics,2399-1399,2399-1402,https://academic.oup.com/fqs,2.0,A review of innovative methods in science teaching.,University of Hong Kong,Journal of Computer Science
Journal,Foreign Policy Analysissignificance,"ISA Journals, Journals",Foreign Policy,1743-8586,1743-8594,https://academic.oup.com/fpa,63.0,A critical examination of environmental policies and their effectiveness.,California Institute of Technology,Nature Communications
Journal,Forensic Sciences Researchsignificance,Journals,"Anthropology, Forensic Medicine, Forensic Psychiatry, Medicine and Health, Social Sciences",2096-1790,2471-1411,https://academic.oup.com/fsr,19.0,Case study on the use of renewable energy in rural communities.,Imperial College London,IEEE Transactions on Software Engineering
Journal,Forest Sciencesignificance,"Journals, SAF Journals","Forestry and Silviculture, Plant Sciences and Forestry",0015-749X,1938-3738,https://academic.oup.com/forestscience,114.0,Analysis of the evolution of cybersecurity strategies.,University of Hong Kong,PLOS ONE
Journal,Forestry: An International Journal of Forest Researchsignificance,Journals,Plant Sciences and Forestry,0015-752X,1464-3626,https://academic.oup.com/forestry,103.0,Exploration of the relationship between social media and mental health.,Tsinghua University,IEEE Transactions on Software Engineering
Journal,Forum for Modern Language Studiessignificance,Journals,Arts and Humanities,0015-8518,1471-6860,https://academic.oup.com/fmls,96.0,Study on the influence of artificial intelligence in the economy.,Imperial College London,Nature Communications
Journal,French Historysignificance,Journals,European History,0269-1191,1477-4542,https://academic.oup.com/fh,19.0,Assessment of the role of digital communication in contemporary politics.,Princeton University,IEEE Transactions on Software Engineering
Journal,French Studiessignificance,"Journals, Society for French Studies Journals",Arts and Humanities,0016-1128,1468-2931,https://academic.oup.com/fs,165.0,Assessment of the role of digital communication in contemporary politics.,California Institute of Technology,Computers & Education
Journal,French Studies Bulletinsignificance,"Journals, Society for French Studies Journals",Arts and Humanities,0262-2750,1748-9180,https://academic.oup.com/fsb,24.0,Study on the influence of artificial intelligence in the economy.,Tsinghua University,ACM Transactions on Graphics
Journal,Functionsignificance,Journals,Biological Sciences,,2633-8823,https://academic.oup.com/function,3.0,A detailed analysis of emerging trends in modern education.,Peking University,PLOS ONE
Journal,G3 Genes|Genomes|Geneticssignificance,Journals,"Biological Sciences, Genetics and Genomics, Molecular and Cell Biology, Science and Mathematics",,2160-1836,https://academic.oup.com/g3journal,114.0,Study on the influence of artificial intelligence in the economy.,Harvard University,IEEE Transactions on Software Engineering
Journal,Gastroenterology Reportsignificance,Journals,Gastroenterology,,2052-0034,https://academic.oup.com/gastro,8.0,Case study on the use of renewable energy in rural communities.,University of Tokyo,Computers & Education
Journal,Geneticssignificance,Journals,"Biological Sciences, Genetics and Genomics, Molecular and Cell Biology, Science and Mathematics",,1943-2631,https://academic.oup.com/genetics,623.0,Case study on the use of renewable energy in rural communities.,Stanford University,ACM Transactions on Graphics
Journal,Genome Biology and Evolutionsignificance,Journals,"Evolutionary Biology, Genetics and Genomics",,1759-6653,https://academic.oup.com/gbe,173.0,This study explores the complex interactions between technology and society.,Tsinghua University,Journal of Machine Learning Research
Journal,"Genomics, Proteomics & Bioinformaticssignificance",Journals,"Biochemistry, Bioinformatics and Computational Biology, Genetics and Genomics, Neuroscience",1672-0229,2210-3244,https://academic.oup.com/gpb,41.0,Assessment of the role of digital communication in contemporary politics.,University of Hong Kong,ACM Transactions on Graphics
Journal,Geophysical Journal Internationalsignificance,"Journals, RAS Journals",Geophysics,,1365-246X,https://academic.oup.com/gji,1467.0,This study explores the complex interactions between technology and society.,Princeton University,PLOS ONE
Journal,Geophysical Supplements to the Monthly Notices of the Royal Astronomical Societysignificance,"Journals, RAS Journals",Geophysics,2051-1965,2051-1973,https://academic.oup.com/gsmnras,30.0,A review of innovative methods in science teaching.,Peking University,Journal of Computer Science
Journal,German Historysignificance,Journals,European History,0266-3554,1477-089X,https://academic.oup.com/gh,27.0,Analysis of the evolution of cybersecurity strategies.,University of Chicago,IEEE Transactions on Software Engineering
Journal,GigaSciencesignificance,Journals,"Biological Sciences, Data and Information Analysis",,2047-217X,https://academic.oup.com/gigascience,67.0,A review of innovative methods in science teaching.,National University of Singapore,Nature Communications
Journal,Global Studies Quarterlysignificance,Journals,"International Relations, Regional Political Studies",,2634-3797,https://academic.oup.com/isagsq,36.0,This study explores the complex interactions between technology and society.,California Institute of Technology,PLOS ONE
Journal,Global Summitrysignificance,Journals,International Relations,2058-7430,2058-7449,https://academic.oup.com/globalsummitry,2.0,This study explores the complex interactions between technology and society.,National University of Singapore,Science Advances
Journal,Glycobiologysignificance,Journals,Carbohydrates,,1460-2423,https://academic.oup.com/glycob,33.0,A critical examination of environmental policies and their effectiveness.,Yale University,Journal of Computer Science
Journal,GRUR Internationalsignificance,Journals,"Intellectual Property Law, Law, Legal System and Practice",,2632-8550,https://academic.oup.com/grurint,73.0,A detailed analysis of emerging trends in modern education.,Columbia University,PLOS ONE
Journal,Health & Social Worksignificance,"Journals, NASW Family","Health, Illness, and Medicine, Social Work",0360-7283,1545-6854,https://academic.oup.com/hsw,115.0,Exploration of the relationship between social media and mental health.,University of Melbourne,Journal of Machine Learning Research
Journal,Health Affairs Scholarsignificance,Journals,"Biological Sciences, Political Theory, Public Health",,2976-5390,https://academic.oup.com/healthaffairsscholar,12.0,Research focused on scientific advances and their global impact.,Imperial College London,Journal of Machine Learning Research
Journal,Health Education Researchsignificance,Journals,Public Health and Epidemiology,0268-1153,1465-3648,https://academic.oup.com/her,444.0,A detailed analysis of emerging trends in modern education.,University of Oxford,Nature Communications
Journal,Health Policy and Planningsignificance,Journals,Public Health and Epidemiology,,1460-2237,https://academic.oup.com/heapol,170.0,Research focused on scientific advances and their global impact.,University of Cambridge,IEEE Transactions on Software Engineering
Journal,Health Promotion Internationalsignificance,Journals,Public Health and Epidemiology,0957-4824,1460-2245,https://academic.oup.com/heapro,329.0,A review of innovative methods in science teaching.,Columbia University,IEEE Transactions on Software Engineering
Journal,Historical Researchsignificance,Journals,"British History, History, Modern History (1700 to 1945)",0950-3471,1468-2281,https://academic.oup.com/histres,54.0,Exploration of the relationship between social media and mental health.,Yale University,Computers & Education
Journal,History Workshop Journalsignificance,Journals,History,1363-3554,1477-4569,https://academic.oup.com/hwj,69.0,A review of innovative methods in science teaching.,ETH Zurich,Nature Communications
Journal,Holocaust and Genocide Studiessignificance,Journals,Genocide and Ethnic Cleansing,8756-6583,1476-7937,https://academic.oup.com/hgs,56.0,This study explores the complex interactions between technology and society.,Harvard University,Nature Communications
Journal,Horticulture Researchsignificance,Journals,"Genetics and Genomics, Plant Sciences and Forestry",2662-6810,2052-7276,https://academic.oup.com/hr,4.0,Case study on the use of renewable energy in rural communities.,University of Cambridge,ACM Transactions on Graphics
Journal,Human Communication Researchsignificance,"ICA Journals, Journals","Interpersonal and Intergroup Communication, Organizational and Institutional Communication",,1468-2958,https://academic.oup.com/hcr,589.0,Exploration of the relationship between social media and mental health.,Stanford University,Computers & Education
Journal,Human Molecular Geneticssignificance,Journals,Genetics and Genomics,0964-6906,1460-2083,https://academic.oup.com/hmg,83.0,Exploration of the relationship between social media and mental health.,ETH Zurich,Science Advances
Journal,Human Reproductionsignificance,"ESHRE Journals, Journals",Reproductive Medicine,,1460-2350,https://academic.oup.com/humrep,224.0,Exploration of the relationship between social media and mental health.,Columbia University,Science Advances
Journal,Human Reproduction Opensignificance,"ESHRE Journals, Journals","Medicine and Health, Reproductive Medicine",,2399-3529,https://academic.oup.com/hropen,12.0,Assessment of the role of digital communication in contemporary politics.,Princeton University,Nature Communications
Journal,Human Reproduction Updatesignificance,"ESHRE Journals, Journals","Critical Care, Reproductive Medicine",,1460-2369,https://academic.oup.com/humupd,25.0,Assessment of the role of digital communication in contemporary politics.,National University of Singapore,PLOS ONE
Journal,Human Rights Law Reviewsignificance,Journals,"Human Rights, Human Rights and Immigration",1461-7781,1744-1021,https://academic.oup.com/hrlr,24.0,A review of innovative methods in science teaching.,University of Tokyo,Journal of Machine Learning Research
Journal,ICES Journal of Marine Sciencesignificance,Journals,Science and Mathematics,1054-3139,1095-9289,https://academic.oup.com/icesjms,314.0,A critical examination of environmental policies and their effectiveness.,University of Cambridge,Computers & Education
Journal,ICSID Review - Foreign Investment Law Journalsignificance,Journals,"Arbitration, International Law",0258-3690,2049-1999,https://academic.oup.com/icsidreview,26.0,A critical examination of environmental policies and their effectiveness.,Tsinghua University,PLOS ONE
Journal,IJQHC Communicationssignificance,"ISQua Journals, Journals",Public Health,,2634-5293,https://academic.oup.com/ijcoms,3.0,Assessment of the role of digital communication in contemporary politics.,University of Chicago,Computers & Education
Journal,ILAR Journalsignificance,Journals,Research Methods in Life Sciences,1084-2020,1930-6180,https://academic.oup.com/ilarjournal,49.0,Research focused on scientific advances and their global impact.,Stanford University,Journal of Computer Science
Journal,IMA Journal of Applied Mathematicssignificance,"IMA Journals, Journals",Applied Mathematics,0272-4960,1464-3634,https://academic.oup.com/imamat,125.0,This study explores the complex interactions between technology and society.,University of Sydney,Science Advances
Journal,IMA Journal of Management Mathematicssignificance,,Mathematics,,1471-6798,https://academic.oup.com/imaman,107.0,Case study on the use of renewable energy in rural communities.,University of Chicago,Journal of Machine Learning Research
Journal,IMA Journal of Mathematical Control and Informationsignificance,"IMA Journals, Journals",Mathematics,,1471-6887,https://academic.oup.com/imamci,45.0,A detailed analysis of emerging trends in modern education.,Yale University,PLOS ONE
Journal,IMA Journal of Numerical Analysissignificance,"IMA Journals, Journals",Numerical Analysis,0272-4979,1464-3642,https://academic.oup.com/imajna,156.0,Research focused on scientific advances and their global impact.,Harvard University,IEEE Transactions on Software Engineering
Journal,Imagingsignificance,,"Neuroscience, Radiology, Reproductive Medicine",0965-6812,1748-8818,https://academic.oup.com/imaging,8.0,Case study on the use of renewable energy in rural communities.,Stanford University,IEEE Transactions on Software Engineering
Journal,Immunotherapy Advancessignificance,Journals,"Clinical Medicine, Clinical Pharmacology and Therapeutics, Immunology, Medicine and Health",,2732-4303,https://academic.oup.com/immunotherapyadv,1.0,A review of innovative methods in science teaching.,University of Tokyo,Nature Communications
Journal,in silico Plantssignificance,,"Bioinformatics and Computational Biology, Data Visualisation, Molecular and Cell Biology, Plant Physiology, Plant Sciences and Forestry, Systems Biology",,2517-5025,https://academic.oup.com/insilicoplants,14.0,Exploration of the relationship between social media and mental health.,University of Oxford,ACM Transactions on Graphics
Journal,Industrial and Corporate Changesignificance,Journals,"Innovation, Technological Change; Research and Development",0960-6491,1464-3650,https://academic.oup.com/icc,527.0,A review of innovative methods in science teaching.,Columbia University,Computers & Education
Journal,Industrial Law Journalsignificance,Journals,"Employment and Labour Law, Industrial and Employment Relations",0305-9332,1464-3669,https://academic.oup.com/ilj,75.0,This study explores the complex interactions between technology and society.,National University of Singapore,Science Advances
Journal,Inflammatory Bowel Diseasessignificance,"Crohn's & Colitis Foundation Journals, Journals","Epidemiology, Gastroenterology, Genetics and Genomics",,1536-4844,https://academic.oup.com/ibdjournal,82.0,Case study on the use of renewable energy in rural communities.,University of Melbourne,Journal of Computer Science
Journal,Information and Inference: A Journal of the IMAsignificance,,Mathematics,,2049-8772,https://academic.oup.com/imaiai,72.0,This study explores the complex interactions between technology and society.,California Institute of Technology,Journal of Computer Science
Journal,Innovation in Agingsignificance,"GSA Journals, Journals",Gerontology and Ageing,,2399-5300,https://academic.oup.com/innovateage,216.0,A detailed analysis of emerging trends in modern education.,Columbia University,Nature Communications
Journal,Insect Systematics and Diversitysignificance,"ESA Publications, Journals",Entomology,,2399-3421,https://academic.oup.com/isd,9.0,Study on the influence of artificial intelligence in the economy.,Peking University,Computers & Education
Journal,Integrative and Comparative Biologysignificance,"Journals, SICB Journals",Biological Sciences,1540-7063,1557-7023,https://academic.oup.com/icb,337.0,Exploration of the relationship between social media and mental health.,University of Oxford,Journal of Computer Science
Journal,Integrative Biologysignificance,Journals,Biological Sciences,,1757-9708,https://academic.oup.com/ib,62.0,A detailed analysis of emerging trends in modern education.,University of Hong Kong,Science Advances
Journal,Integrative Organismal Biologysignificance,,Biological Sciences,,2517-4843,https://academic.oup.com/iob,25.0,Exploration of the relationship between social media and mental health.,University of Tokyo,Computers & Education
Journal,Intelligent Transportation Infrastructuresignificance,,Artificial Intelligence,,2752-9991,https://academic.oup.com/iti,4.0,A detailed analysis of emerging trends in modern education.,Tsinghua University,Computers & Education
Journal,Interacting with Computerssignificance,"BCS Journals, Journals",Human-Computer Interaction,,1873-7951,https://academic.oup.com/iwc,909.0,Assessment of the role of digital communication in contemporary politics.,California Institute of Technology,Journal of Machine Learning Research
Journal,Interdisciplinary CardioVascular and Thoracic Surgerysignificance,"EACTS Journals, Journals",Cardiothoracic Surgery,,2753-670X,https://academic.oup.com/icvts,269.0,Case study on the use of renewable energy in rural communities.,University of Hong Kong,ACM Transactions on Graphics
Journal,International Affairssignificance,Journals,Politics,0020-5850,1468-2346,https://academic.oup.com/ia,349.0,Assessment of the role of digital communication in contemporary politics.,Harvard University,Journal of Computer Science
Journal,International Data Privacy Lawsignificance,Journals,"IT and Communications Law, Public International Law",2044-3994,2044-4001,https://academic.oup.com/idpl,125.0,Exploration of the relationship between social media and mental health.,MIT,Journal of Machine Learning Research
Journal,International Healthsignificance,"Journals, RSTMH Journals",Community Medical Services,,1876-3405,https://academic.oup.com/inthealth,33.0,A review of innovative methods in science teaching.,University of Chicago,Science Advances
Journal,International Immunologysignificance,Journals,Immunology,,1460-2377,https://academic.oup.com/intimm,17.0,Research focused on scientific advances and their global impact.,Harvard University,Science Advances
Journal,International Journal for Quality in Health Caresignificance,"ISQua Journals, Journals",Public Health and Epidemiology,1353-4505,1464-3677,https://academic.oup.com/intqhc,179.0,Assessment of the role of digital communication in contemporary politics.,Harvard University,Science Advances
Journal,International Journal of Constitutional Lawsignificance,Journals,Constitutional and Administrative Law,1474-2640,1474-2659,https://academic.oup.com/icon,39.0,A critical examination of environmental policies and their effectiveness.,Stanford University,Computers & Education
Journal,International Journal of Epidemiologysignificance,Journals,Public Health and Epidemiology,,1464-3685,https://academic.oup.com/ije,347.0,Study on the influence of artificial intelligence in the economy.,Imperial College London,Computers & Education
Journal,International Journal of Law and Information Technologysignificance,Journals,IT and Communications Law,0967-0769,1464-3693,https://academic.oup.com/ijlit,217.0,A review of innovative methods in science teaching.,University of Toronto,Science Advances
Journal,"International Journal of Law, Policy and the Familysignificance",Journals,"Family Law, Law and Society",1360-9939,1464-3707,https://academic.oup.com/lawfam,39.0,Research focused on scientific advances and their global impact.,National University of Singapore,PLOS ONE
Journal,International Journal of Lexicographysignificance,Journals,Lexicography,0950-3846,1477-4577,https://academic.oup.com/ijl,302.0,Exploration of the relationship between social media and mental health.,Yale University,Journal of Machine Learning Research
Journal,International Journal of Low-Carbon Technologiessignificance,Journals,"Energy Technology, Environmental Sustainability",1748-1317,1748-1325,https://academic.oup.com/ijlct,42.0,Research focused on scientific advances and their global impact.,Tsinghua University,PLOS ONE
Journal,International Journal of Neuropsychopharmacologysignificance,Journals,Neuroscience,,1469-5111,https://academic.oup.com/ijnp,98.0,Case study on the use of renewable energy in rural communities.,National University of Singapore,Science Advances
Journal,International Journal of Public Opinion Researchsignificance,Journals,"Communication Studies, Quantitative Political Methodology, Social Research and Statistics",,1471-6909,https://academic.oup.com/ijpor,337.0,A detailed analysis of emerging trends in modern education.,Yale University,IEEE Transactions on Software Engineering
Journal,International Journal of Refugee Lawsignificance,Journals,Human Rights and Immigration,0953-8186,1464-3715,https://academic.oup.com/ijrl,23.0,Assessment of the role of digital communication in contemporary politics.,University of Cambridge,Journal of Machine Learning Research
Journal,International Journal of Transitional Justicesignificance,Journals,Law,1752-7716,1752-7724,https://academic.oup.com/ijtj,21.0,Research focused on scientific advances and their global impact.,National University of Singapore,ACM Transactions on Graphics
Journal,International Mathematics Research Noticessignificance,Journals,Pure Mathematics,1073-7928,1687-0247,https://academic.oup.com/imrn,939.0,Exploration of the relationship between social media and mental health.,University of Hong Kong,ACM Transactions on Graphics
Journal,International Mathematics Research Paperssignificance,Journals,Mathematics,1687-3017,1687-3009,https://academic.oup.com/imrp,9.0,Analysis of the evolution of cybersecurity strategies.,Princeton University,PLOS ONE
Journal,International Mathematics Research Surveyssignificance,,Mathematics,1687-1308,1687-1324,https://academic.oup.com/imrs,1.0,A critical examination of environmental policies and their effectiveness.,National University of Singapore,Nature Communications
Journal,International Political Sociologysignificance,"ISA Journals, Journals","Political Sociology, Regional Political Studies",1749-5679,1749-5687,https://academic.oup.com/ips,79.0,A review of innovative methods in science teaching.,National University of Singapore,IEEE Transactions on Software Engineering
Journal,International Relations of the Asia-Pacificsignificance,Journals,International Relations,1470-482X,1470-4838,https://academic.oup.com/irap,29.0,This study explores the complex interactions between technology and society.,Harvard University,IEEE Transactions on Software Engineering
Journal,International Studies Perspectivessignificance,"ISA Journals, Journals","International Relations, Public Policy",1528-3577,1528-3585,https://academic.oup.com/isp,152.0,A review of innovative methods in science teaching.,National University of Singapore,ACM Transactions on Graphics
Journal,International Studies Quarterlysignificance,"ISA Journals, Journals","International Relations, Regional Political Studies",0020-8833,1468-2478,https://academic.oup.com/isq,402.0,Research focused on scientific advances and their global impact.,MIT,Journal of Computer Science
Journal,International Studies Reviewsignificance,"ISA Journals, Journals","International Relations, Regional Political Studies",1521-9488,1468-2486,https://academic.oup.com/isr,137.0,A critical examination of environmental policies and their effectiveness.,ETH Zurich,Science Advances
Journal,ISLE: Interdisciplinary Studies in Literature and Environmentsignificance,Journals,"Environment, Literature",1076-0962,1759-1090,https://academic.oup.com/isle,139.0,A detailed analysis of emerging trends in modern education.,California Institute of Technology,Journal of Computer Science
Journal,ISME Communicationssignificance,Journals,"Biological Sciences, Pathology",,2730-6151,https://academic.oup.com/ismecommun,17.0,Assessment of the role of digital communication in contemporary politics.,MIT,Journal of Computer Science
Journal,ITNOWsignificance,"BCS Journals, Journals",Computing,1746-5702,1746-5710,https://academic.oup.com/itnow,1465.0,Analysis of the evolution of cybersecurity strategies.,University of Melbourne,Computers & Education
Journal,JAC-Antimicrobial Resistancesignificance,"BSAC Journals, Journals","Medical Microbiology and Virology, Microbiology",,2632-1823,https://academic.oup.com/jacamr,16.0,A review of innovative methods in science teaching.,Peking University,Journal of Machine Learning Research
Journal,JAMIA Opensignificance,"AMIA Journals, Journals","Bioinformatics and Computational Biology, Biomathematics and Statistics, Medicine and Health",,2574-2531,https://academic.oup.com/jamiaopen,120.0,Case study on the use of renewable energy in rural communities.,Peking University,Computers & Education
Journal,Japanese Journal of Clinical Oncologysignificance,Journals,Medical Oncology,,1465-3621,https://academic.oup.com/jjco,108.0,Analysis of the evolution of cybersecurity strategies.,University of Cambridge,Nature Communications
Journal,JBMR Plussignificance,Journals,"Clinical Medicine, Endocrinology and Diabetes, Medicine and Health, Neuroscience",,2473-4039,https://academic.oup.com/jbmrplus,16.0,This study explores the complex interactions between technology and society.,University of Tokyo,Computers & Education
Journal,JCEM Case Reportssignificance,"Endocrine Society Journals, Journals","Clinical Medicine, Endocrinology and Diabetes, Medical Oncology, Medicine and Health, Reproductive Medicine",,2755-1520,https://academic.oup.com/jcemcr,5.0,Analysis of the evolution of cybersecurity strategies.,MIT,Science Advances
Journal,Jerusalem Review of Legal Studiessignificance,Journals,Law,,2219-7117,https://academic.oup.com/jrls,37.0,A detailed analysis of emerging trends in modern education.,National University of Singapore,Nature Communications
Journal,JNCI Cancer Spectrumsignificance,"JNCI Portfolio, Journals",Medicine and Health,,2515-5091,https://academic.oup.com/jncics,18.0,Analysis of the evolution of cybersecurity strategies.,Peking University,Computers & Education
Journal,JNCI Monographssignificance,"JNCI Portfolio, Journals",Medicine and Health,1052-6773,1745-6614,https://academic.oup.com/jncimono,35.0,Assessment of the role of digital communication in contemporary politics.,University of Oxford,Computers & Education
Journal,JNCI: Journal of the National Cancer Institutesignificance,"JNCI Portfolio, Journals",Medicine and Health,0027-8874,1460-2105,https://academic.oup.com/jnci,409.0,A critical examination of environmental policies and their effectiveness.,Princeton University,Science Advances
Journal,Journal of African Economiessignificance,Journals,Economic Development,0963-8024,1464-3723,https://academic.oup.com/jae,126.0,A review of innovative methods in science teaching.,Tsinghua University,Science Advances
Journal,Journal of American Historysignificance,"Journals, OAH Journals",United States History,0021-8723,1945-2314,https://academic.oup.com/jah,319.0,Research focused on scientific advances and their global impact.,University of Hong Kong,IEEE Transactions on Software Engineering
Journal,Journal of Analytical Toxicologysignificance,Journals,"Chemistry, Medical Toxicology, Toxicology (Non-medical)",0146-4760,1945-2403,https://academic.oup.com/jat,15.0,Case study on the use of renewable energy in rural communities.,University of Tokyo,IEEE Transactions on Software Engineering
Journal,Journal of Animal Sciencesignificance,"ASAS Journals, Journals",Biological Sciences,,1525-3163,https://academic.oup.com/jas,281.0,A detailed analysis of emerging trends in modern education.,University of Hong Kong,Computers & Education
Journal,Journal of Antimicrobial Chemotherapysignificance,"BSAC Journals, Journals","Clinical Pharmacology and Therapeutics, Infectious Diseases, Medical Microbiology and Virology",0305-7453,1460-2091,https://academic.oup.com/jac,84.0,Study on the influence of artificial intelligence in the economy.,University of Hong Kong,Computers & Education
Journal,Journal of Antitrust Enforcementsignificance,Journals,Competition Law,,2050-0696,https://academic.oup.com/antitrust,53.0,Assessment of the role of digital communication in contemporary politics.,MIT,IEEE Transactions on Software Engineering
Journal,Journal of AOAC INTERNATIONALsignificance,"AOAC Publications, Journals",Science and Mathematics,1060-3271,1944-7922,https://academic.oup.com/jaoac,72.0,Research focused on scientific advances and their global impact.,University of Cambridge,Science Advances
Journal,Journal of Applied Microbiologysignificance,Journals,Microbiology,1364-5072,1365-2672,https://academic.oup.com/jambio,44.0,Analysis of the evolution of cybersecurity strategies.,California Institute of Technology,ACM Transactions on Graphics
Journal,Journal of Bone and Mineral Researchsignificance,Journals,"Clinical Medicine, Endocrinology and Diabetes, Medicine and Health, Neuroscience",0884-0431,1523-4681,https://academic.oup.com/jbmr,116.0,Research focused on scientific advances and their global impact.,Columbia University,Journal of Computer Science
Journal,Journal of Breast Imagingsignificance,Journals,"Clinical Radiology, Gynaecology, Interventional Radiology, Radiation Oncology, Radiography, Radiology",2631-6110,2631-6129,https://academic.oup.com/jbi,16.0,A review of innovative methods in science teaching.,ETH Zurich,Computers & Education
Journal,Journal of Burn Care & Researchsignificance,Journals,Surgery,1559-047X,1559-0488,https://academic.oup.com/jbcr,90.0,Study on the influence of artificial intelligence in the economy.,Yale University,IEEE Transactions on Software Engineering
Journal,Journal of Chromatographic Sciencesignificance,Journals,Chemistry,0021-9665,1945-239X,https://academic.oup.com/chromsci,51.0,A review of innovative methods in science teaching.,University of Hong Kong,Science Advances
Journal,Journal of Church and Statesignificance,Journals,Arts and Humanities,0021-969X,2040-4867,https://academic.oup.com/jcs,74.0,Study on the influence of artificial intelligence in the economy.,California Institute of Technology,Computers & Education
Journal,Journal of Communicationsignificance,"ICA Journals, Journals","Communication and Cultural Studies, Communication Theory and Methodology",0021-9916,1460-2466,https://academic.oup.com/joc,948.0,A critical examination of environmental policies and their effectiveness.,National University of Singapore,Science Advances
Journal,Journal of Competition Law & Economicssignificance,Journals,"Competition Law, Law and Economics",1744-6414,1744-6422,https://academic.oup.com/jcle,132.0,A critical examination of environmental policies and their effectiveness.,University of Tokyo,Nature Communications
Journal,Journal of Complex Networkssignificance,Journals,Science and Mathematics,,2051-1329,https://academic.oup.com/comnet,100.0,Study on the influence of artificial intelligence in the economy.,University of Tokyo,Journal of Computer Science
Journal,Journal of Computational Design and Engineeringsignificance,Journals,"Engineering and Technology, Human-Computer Interaction, Mathematical Theory of Computation, Science and Mathematics, Technical Design",,2288-5048,https://academic.oup.com/jcde,65.0,Analysis of the evolution of cybersecurity strategies.,University of Oxford,Computers & Education
