Authors,Title,Year,ISBN,Publisher,Address,URL,DOI,Abstract,Document Type,afiliacion_primer_autor,journal
"Sherwood, Heather and Moeller, Babette and Fancsali, Cheri",CT Readiness for All: Studying a Framework for Supporting Schoolwide Computational Thinking Integration Across Elementary Curricula,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3635533,10.1145/3626253.3635533,"Schools throughout the United States are engaging in efforts to integrate computational thinking (CT) across various elementary curricula. However, there is very little guidance for effective approaches to integrating CT consistently and cohesively school wide. CT Readiness for All is a two-year research project that is investigating a CT framework and self-assessment tool developed to articulate indicators associated with successful school-wide integration across elementary curricula. Data sources include focus group interviews and surveys with teachers. Although the project is still in progress, early analysis have resulted in three key findings: (a) students were able to make cross-curricular connections using CT as a problem-solving process; (b) finding time within the school day to focus on CT is challenging; and (c) administrators need to take an active role in setting the vision and definition of CT to support school-wide CT efforts.",Case Study,University of Hong Kong,Nature Communications
"Ojeda-Ramirez, Santiago and Parker, Miranda C. and Garcia, Leiny and Tate, Tamara and Villa, Jillian Rae and Warschauer, Mark",Computational Thinking and Attitudes Towards Computing: An Emerging Relationship in Elementary Students,2023,9781450394338.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3545947.3576256,10.1145/3545947.3576256,"This study analyzed the relationship between computational thinking (CT) and coding attitudes of upper elementary students after exposure to a year-long CT curriculum. Using ordinary least squares regression and controlling for student demographics (i.e., gender and English Learner (EL) status), we found that CT skills were a significant factor in modeling coding attitudes, regardless of demographic controls. Interviews of the students unveiled an interaction between coding interest and social values in a debugging process.",Short Communication,Peking University,Journal of Machine Learning Research
"Lee, Dongeun and Hu, Kaoning and El Ariss, Omar and Kwon, Kibum",Multiple Programming Languages for Improving Computational Thinking in CS1,2023,9781450394338.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3545947.3576322,10.1145/3545947.3576322,"Computational thinking can be deemed as thinking in algorithmic way, with which one can transpose given problems into computer algorithms. Since computational thinking requires abstract reasoning, it should not depend on particular programming languages. Unfortunately, introductory programming courses (CS1) often give students false impression that their goals are to teach a particular programming language. This study shares the design of new pedagogy for CS1 that removes dependency on a particular language and promotes computational thinking by teaching multiple programming languages simultaneously. Specifically, chosen programming languages range from low-level to high-level to expose students to different levels of abstraction from the details of computer architecture. Initial student survey responses from both trial and control groups show that there are significant improvements for the trial groups.",Short Communication,Princeton University,Computers & Education
"Torres Castillo, Ruth and Valdez, Tomas and Pontelli, Enrico and Gonzalez, Horacio and Nevarez, Erick and Cota, Raena",Using Computational Thinking to Learn Creative Writing and Performance Arts: Summer Experiences of Story Creation Projects,2024,9798400704246.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3626253.3635619,10.1145/3626253.3635619,"In our modern society, technology has profoundly reshaped various aspects of our lives, influencing the way we work, communicate, and interact. This raises a fundamental question: Is the current K-12 education system adequately preparing students for success in this technology-driven era, where innovation and problem-solving skills are essential? A recent study investigated this inquiry. The goal was to integrate Computational Thinking (CT) into the domains of Creative Writing and Creative Media and measure its impacts. This poster describes the design and refinement of summer camp experiences in which predominantly Hispanic female students participated in hands-on CT-based learning to create their own creative stories and films. Educational outcomes were evident through increased student engagement, enhanced collaboration, and improved problem-solving skills, underscoring the intervention's advantages. Furthermore, the researchers gained transforming insights, recognizing the versatility of CT across domains. Camp participants experienced a shift in perspective, with a greater interest in vocations and domains connected to computing. We share lessons learned from these summer camps in the hopes that they will inform other researchers and practitioners who are interested in designing and deploying similar experiences. In summary, the study outlines a trajectory where students and educators skillfully navigate the complexities of contemporary paradigms",Conference Proceedings,University of Tokyo,Journal of Machine Learning Research
"Pietros, Jennifer and Sweetman, Sara and Shim, Minsuk",How is Computational Thinking Defined in Elementary Science?,2022,9781450390712.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3478432.3499120,10.1145/3478432.3499120,"Computational thinking (CT) is a foundational skill of computer science that all elementary students should have equitable access to for learning and engaging in throughout their day. For the integration of CT into science instruction to be successful, teachers need to be able to communicate clearly what CT is and how it is defined through precise language. The intention of this poster is to explore the meaning of CT at the elementary level through a critical review of literature, analysis of standards, value-mapping across multiple stakeholders, analysis of written responses from elementary teachers on a CT survey, and deep discussions of a Design-Based Implementation Research Team (DBIR). The data collected and analyzed from these sources was combined to develop a definition of CT that would support implementation of CT for elementary teachers.",Editorial,University of Cambridge,IEEE Transactions on Software Engineering
"Zaman, Ulia",Exploring Computational Thinking Practices and Gestures in the Context of Matrix Math,2023,9781450394222.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3544549.3583944,10.1145/3544549.3583944,Computational thinking (CT) is a unique skill set that can provide advantages not only in the field of computer science (CS) but also in other disciplines. There is potential benefit in incorporating CT practices in other subjects so students from interdisciplinary backgrounds can also gain CT skills and apply them in their respective disciplines. This study takes a look at how students from interdisciplinary backgrounds interact using gestures and use CT to understand matrix math concepts in a group setting. A mixed-methods analysis is used to gain insight into how students’ practice CT. Data collected from pre- and post- assessments measures students’ mastery level in matrix math concepts. Video data collected during the group activity shows students’ learning process. The results of this study provide a better perspective on how other disciplines are able to utilize CT and how CT learning can be implicitly taught in subjects other than CS.,Technical Report,Yale University,Nature Communications
"Maraza Quispe, Benjamin and Alejandro Oviedo, Olga Melina and Choquehuanca Quispe, Walter and Quispe Flores, Lita Marianela and Caytuiro Silva, Nicolas Esleyder and Choquehuayta Palomino, Sim\'{o}n Angel",Towards the development of computational thinking in students through games,2023,9781450397766.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3572549.3572552,10.1145/3572549.3572552,"The research aims to analyze the impact of games on the development of computational thinking in students, specifically the digital card game called Moon (a card game where the computer of the Eagle lunar module is controlled during the first moon landing). The methodology applied is experimental where a series of learning sessions applying the virtual game Moon is applied to a sample of 25 students selected through a simple random sampling of a population of 100 students, we proceed to evaluate the students through a pre-test and post-test. The results show that the application of the virtual game Moon significantly influences the increase of Computational Thinking in students, which was demonstrated by applying the evaluation and observing how they overcame the different challenges proposed through the different difficulties of the virtual game Moon, this developed in the competence of ""Design and build technological solutions to solve problems in their environment"".",Short Communication,University of Melbourne,ACM Transactions on Graphics
"Bellino, Alessio and Herskovic, Valeria",Protobject as a tool for teaching computational thinking to designers: student perceptions on usability,2023,9798400708060.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3605390.3605401,10.1145/3605390.3605401,"Due to the proliferation of technology in daily life and the growing number of ways in which humans and machines interact, the process of designing interactive elements has become critical. Nevertheless, design students are seldom able to design and implement interactive elements because of their limited programming skills. Although there have been some approaches to teach computational thinking using physical computing and focusing on solving real-world problems (e.g., electronic devices such as Arduino, using sensors and actuators), they often entail monetary expenses and require knowledgeable instructors, and are not catered to students without prior programming or electronics knowledge. Hence, we propose the use of Protobject, a low-cost tool that focuses on real-world applications that could be used to teach programming to design students. This study aims to evaluate students’ perceptions regarding the usability of Protobject as a tool for learning computational thinking, as well as the clarity of the learning activities designed to teach computational thinking concepts by using Protobject.",Research Article,Columbia University,Journal of Machine Learning Research
"De Jong, Imke and Sichterman, Bo and Jeuring, Johan",Examining the Use of Computational Thinking Skills When Solving Bebras Tasks,2022,9781450396165.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3564721.3565957,10.1145/3564721.3565957,"Computational thinking (CT) is considered an essential problem-solving skill in the 21st century, and is receiving attention on different educational levels. To promote and assess students’ CT skills, so-called ’Bebras tasks’ (i.e. small tasks for problem solving in informatics) are created by experts in the field of CT. There has not been empirical research to determine to what extent and how CT skills are used while solving these tasks, however. This qualitative study bridges this gap by using the think-aloud method to examine the use of CT skills when solving Bebras. The results of this study can serve as a validation for the use of CT skills in solving Bebras tasks. This poster abstract introduces the background and setup of the study.",Research Article,Stanford University,Computers & Education
"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",A Computational Thinking Obstacle Course Based on Bebras Tasks for K-12 Schools,2023,9798400701382.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3587102.3588775,10.1145/3587102.3588775,"This paper describes an unplugged computational thinking (CT) resource for primary and secondary schools developed from Bebras tasks. In Ireland, CT is not part of the primary school curriculum or mandatory in secondary schools. However, the National Council for Curriculum and Assessment is in the process of revising the primary school curriculum to include aspects of CT. Our aim for creating this CT Obstacle Course is to introduce teachers (and pupils) without formal computer science training to the subject of CT. This is done in a manner that informs and motivates, and gives them the confidence to deliver CT materials in the classroom. We also want to find out from teachers how useful and important this type of resource is for developing problem-solving skills, and if our unplugged activity can support learning at various skill levels. Our CT Obstacle Course includes 14 Bebras tasks for primary schools and an additional 6 Bebras tasks for secondary schools. The activity is suitable for indoors and outdoors and is completed in groups, promoting teamwork and communication. We have delivered it to 146 primary school classes during 38 school visits between May 2021 and June 2022. It has been undertaken by 3,445 pupils and 195 teachers and other school staff. This paper describes our CT resource in detail, and reports teacher feedback from primary schools.",Editorial,University of Oxford,Science Advances
"Moreira Oliveira, Carolina",The Development of Computational Thinking in Computing Higher Education,2022,9781450390712.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3478432.3499217,10.1145/3478432.3499217,"Curriculum guidelines for Computer Science undergraduate courses from different institutions recognize computational thinking as a fundamental skill that all students must exercise in Computer Science courses. Unfortunately, the guidelines do not make it clear when and how these skills should be exercised. The literature recognizes the importance and relevance of computational thinking. However, there is still little evidence around which aspects should be considered to design activities to support the development of computational thinking. To address this problem, my research aims to investigate how to design and conduct activities to promote computational thinking in Computer Science courses. The expected result is to produce an approach to assist the design and conduct of computational thinking learning activities in Computer Science courses.",Research Article,University of Oxford,ACM Transactions on Graphics
"Saraiva, In\^{e}s and Martins, Nuno and Sylla, Cristina Maria",Mobeybou for Computational Thinking: Fostering Expression Through Embodied Computing Interactions,2023,9781450398091.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3568739.3568766,10.1145/3568739.3568766,"The impact of the COVID-19 crisis on education has opened new doors and accelerated change, and a learning opportunity has emerged towards the digital transformation of teaching models. Computing acquires a new relevance and fits into the plan to strengthen digital skills as a driver of digital knowledge, particularly relevant for children and young people. In parallel, both the close contact with computers allows the development of skills such as logical reasoning, critical thinking, creativity, communication and teamwork, and the very coexistence of citizens with digital technologies requires the prior acquisition of this knowledge, in order to be prepared to meet the new demands of modern society. Thus, the purpose of this paper is to introduce an ongoing research project that aims at developing young children's expression through embodied computing in order to enhance their digital knowledge, by adapting the digital manipulative (DM) Mobeybou for storytelling and narrative creation as a tool for promoting computational thinking (CT) and inherent competences through a bodily expression experience. The educational toolkit and base literature review are discussed, and the early prototypes of the programming language proposed are presented, as well as the ongoing and future work. With this initial work it was possible to conclude that computer programming has many benefits in fostering CT in children, alongside other cognitive skills, as well as the importance of stimulating children's expression and communication that are transversal to all areas of life. Therefore, computer programming will be used and incorporated in Mobeybou in order to achieve the research aims proposed in this paper and promote children's expression through CT development.",Conference Proceedings,University of Cambridge,Journal of Computer Science
"Chen, Yunshan and Wang, Yining and Li, Yanyan",The Effectiveness of Teaching Approaches in Computational Thinking Education: A Meta-Analysis,2023,9781450397766.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3572549.3572611,10.1145/3572549.3572611,"This meta-analysis examined research on the effects of different teaching approaches on students’ computational thinking (CT) from 2010 to 2022. A total of 35 articles met inclusion criteria and were included in the final analysis with a total of 49 independent effect sizes. The meta-analysis results showed that the current K-12 teaching has a moderate positive impact on the development of students' computational thinking (g=0.548). Pair programming, unplugged activities, and project-based learning have the most significant effects, which are more helpful in cultivating students’ computational thinking. Moreover, we analyzed the impact of moderator variables on the relationship between K-12 teaching and computational thinking. Findings revealed that the effects of CT education were more substantial (a) for middle school students than for primary school students, (b) in interdisciplinary courses than in computer science courses, (c) with collaborative learning activities than with individual learning activities. Based on this, we suggest that paired programming, unplugged activities, and project-based learning, which are based on collaborative learning, should be used more for CT education. In addition, schools should develop interdisciplinary courses to promote computational thinking migration in different disciplines.",Technical Report,ETH Zurich,Journal of Computer Science
"Boulden, Danielle and Smith, Andy and Cully, Kimkinyona and Houchins, Jennifer and Elsayed, Rasha and Hubbard Cheuoua, Aleata and Minogue, James and Oliver, Kevin and Ringstaff, Cathy and Mott, Bradford",Promoting Computational Thinking in Elementary School: A Narrative-Centered Learning Approach,2021,9781450383974.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3456565.3460068,10.1145/3456565.3460068,"One of the most efficient ways for elementary school students to gain exposure to computational thinking is when it is integrated into other disciplinary areas; however, elementary school teachers often lack the necessary resources to do this effectively. By leveraging the motivation force of narrative to engage students and the scaffolding affordances of block-based programming to support students, computationally-rich narrative-centered learning offers promise to address this need. In this work, we review design principles from prior work for engaging elementary students in computational thinking as well as results from initial pilot studies to investigate how computationally-rich narrative-centered learning in the context of science problem solving can support the integration of computational thinking into other disciplinary areas.",Case Study,MIT,IEEE Transactions on Software Engineering
"Asbell-Clarke, Jodi and Robillard, Tara and Edwards, Teon and Bardar, Erin and Weintrop, David and Grover, Shuchi and Israel, Maya",Including Neurodiversity in Foundational and Applied Computational Thinking (INFACT),2022,9781450390712.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3478432.3499044,10.1145/3478432.3499044,"INFACT aims to provide differentiable teaching and learning activities in Computational Thinking (CT) that are inclusive for neurodiverse learners in grades 3-8. Neurodiversity refers to learners with autism, ADHD, dyslexia, and other related cognitive differences. Underlying many neurodiverse conditions is differences with executive function (EF). In previous research on game-based learning, neurodiverse students became class leaders in CT activities [1]. Special education teachers noted that CT practices align with strategies they use to support problem-solving practices. Leveraging these affordances of CT, INFACT activities are designed with embedded EF scaffolds to support neurodiverse learners.",Editorial,University of Toronto,Nature Communications
"Li, Jiang and Shockey, Paulette and Cuddapah, Jennifer and Graybeal, Christy and Torres-Crespo, Marisel and Williams, Anthony",Introducing computational thinking to pre-service teachers,2021,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,"This paper describes a collaborative project that was conducted to promote K-8 Computer Science Education among in-service and pre-service teachers. More than 40 pre-service and in-service teachers participated in a learning experience designed to address the K-12 Computer Science Framework [2] and Maryland's K-12 Computer Science Standards. The collaboration was designed to facilitate participants' learning about and application of foundational principles of computer science and computational thinking into K-8 STEM curriculum and teaching. Participants explored hard/software platforms and used open-source sites such as Scratch, Code.org and Code Academy. Participants envisioned how activities apply to K-8 classrooms and worked in pairs or groups to design a problem-based project for students. Project evaluation included formative and summative assessments to examine changes in content and pedagogical knowledge.",Case Study,University of Melbourne,Journal of Computer Science
"Hammond, Thomas C. and Oltman, Julia and Manfra, Meghan M.","Geo-Computational Thinking in the Third Grade: Making Computational Thinking Truly ""For Everyone, Everywhere""",2019,9781450369527.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3356393.3365369,10.1145/3356393.3365369,"The concept of computational thinking originated in the computer science community and has therefore focused on concepts and terminology drawn from that discipline. However, to make computational thinking an integrated, accessible concept within other parts of the K-12 curriculum, the concepts and terminology must be adapted to fit the new curricular context. We focus on elementary social studies, specifically a third grade geography lesson on absolute location using a teaching strategy of a scaffolded geocache. We present a selection of computational thinking elements, adapt them to social studies, and then organize them into a four-part heuristic: Data, Patterns, Rules, and Questions. Through this selection, adaptation, and sequencing, computational thinking can become a relevant and accessible integrated concept within the elementary social studies curriculum.",Research Article,University of Tokyo,PLOS ONE
"Sim\~{o}es Gomes, Tanci and Pontual Falc\~{a}o, Taciana and Tedesco, Patricia",An educational transmedia storytelling proposal to teach computational thinking for children,2022,9781450391979.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3501712.3538821,10.1145/3501712.3538821,"Teaching computational thinking for children has reached ample dimensions along the last decade, and has culminated in the creation of various products, programs and projects that aim to democratize the access to this body of knowledge. However, cognitive, motor and affective factors have appeared as particular challenges when we are teaching computational thinking to children in the literacy phase, where the stories are a particularly relevant part of the learning process and children's development. Thus this study has aimed to articulate the inclusion of storytelling in experiences of teaching computational thinking to young children, analyzing this possibility considering the proposition of an artifact based on transmedia storytelling for teaching computational thinking and seeks to understand what are the implications of child-computer interaction in this artifact.",Research Article,Princeton University,Journal of Computer Science
"Herrero-\'{A}lvarez, Rafael",Development of an Open-Source Emotion-Based Adaptive Learning Support System using Computational Thinking Activities,2023,9798400701399.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3587103.3594141,10.1145/3587103.3594141,This report summarizes the information related to a PhD project that aims to develop an Open-Source Emotion-Based Adaptive Learning Support System through Computational Thinking activities. This paper outlines the proposed objectives and provides an update on the progress made in research to date.,Review Paper,ETH Zurich,PLOS ONE
"Mike, Koby and Ragonis, Noa and Rosenberg-Kima, Rinat B. and Hazzan, Orit",Computational thinking in the era of data science,2022,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3545109,10.1145/3545109,Incorporating data thinking into computer science education.,Technical Report,University of Chicago,ACM Transactions on Graphics
"de Jong, Imke and Jeuring, Johan",Computational Thinking Interventions in Higher Education: A Scoping Literature Review of Interventions Used to Teach Computational Thinking,2020,9781450389211.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3428029.3428055,10.1145/3428029.3428055,"Computational Thinking is seen as a crucial skill in an increasingly digital society. Researchers and educators in higher education therefore aim to improve the Computational Thinking (CT) skills of students using appropriate interventions. However, there is currently no overview of interventions used to teach CT and how effective they are. With this scoping literature review, we provide such an overview by identifying articles that discuss interventions used to teach CT in higher education. We identify the teaching approaches used in these interventions, and discuss their effectiveness and how this is assessed. Furthermore, we look at the use of adaptive interventions. Our search of three academic databases (Scopus, ACM and ERIC) resulted in 1839 articles. After screening, 49 articles remained. A detailed examination of the interventions discussed in these articles showed that CT is still often taught through programming assignments. The interventions are evaluated in a myriad of ways, making it difficult to compare the effectiveness of interventions. We therefore suggest making use of more standardized instruments to evaluate the effectiveness. Finally, although scaffolding is applied, interventions are not often adapted to the actual proficiency level of a student.",Short Communication,University of Oxford,Nature Communications
"Sosa, Ricardo and Gibbons, Andrew and O'Riordan, Emma and Iorangi, Keu and Crowe, Andy and Gibson, Leanne and Harris, Sam and Badenhorst, Daniel",Food for Advanced Computational Thinking: Critical and Creative Approaches to Technology at Te Kura Taurua Manurewa,2022,9781450393881.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3536169.3537785,10.1145/3536169.3537785,"This paper focuses on a participatory activity that is part of an ongoing partnership formed six years ago between teachers and academics to study creative technology approaches to youth participation. By focusing on a food-based activity in an after-school maker space, we reflect on the pedagogical and methodological innovations, and the ethical and aesthetic qualities of food-based activities for participatory design. The session brought together students and teachers to form a generative dialogue around computation and automation while preparing and sharing food. The results suggest opportunities to rethink current curricular, pedagogical, and education policy strategies. Recommendations for organizers to prepare generative activities where food is used as a design material close the paper.",Short Communication,University of Melbourne,ACM Transactions on Graphics
"Collado-S\'{a}nchez, Mar\'{\i}a and Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e} and Pinto-Llorente, Ana Mar\'{\i}a",Computational thinking competences training for primary education teachers,2021,9781450390668.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3486011.3486544,10.1145/3486011.3486544,"This article provides a summary of a research plan as part of the ""educational robotics"" line of research of the doctoral plan for training in the Knowledge Society. The main objective of the research plan is to propose a curricular approach of Computational Thinking (CT) competences through active methodologies in Primary Education classrooms. It is a study with a mixed methodology to obtain more detailed results; the quantitative phase consists of the development of a MOOC for teacher training in CT, evaluated through questionnaires, and the qualitative phase, a didactic proposal in which these competencies are developed, evaluated through interviews, or focus groups. Thus, we start from a state of the art where it is reflected, on the one hand, that teacher training in CT competences causes positive feedback in Primary Education classrooms and, on the other hand, the need to carry out this training and include CT, programming, and robotics in educational curricula.",Editorial,Columbia University,Nature Communications
"Yeni, Sabiha and Grgurina, Natasa and Hermans, Felienne and Tolboom, Jos and Barendsen, Erik",Exploring Teachers’ PCK for Computational Thinking in Context,2021,9781450385718.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3481312.3481320,10.1145/3481312.3481320,"There is growing attention for integrating Computational Thinking (CT) into various subjects across the K-12 curriculum with a concomitant increase of interest in investigating teachers’ pedagogical content knowledge (PCK) regarding CT. This study is part of a bigger project focusing on defining the learning trajectories for CT integration into the K-12 curriculum. In particular, the present study focused on eliciting the pedagogical content knowledge and attitude of teachers with respect to the integration of CT in various disciplines. To this end, we implemented six different case studies by integrating CT into six different subjects: science, traffic, language, biology, geography, and physics. Two primary and four secondary school teachers were involved in the study. After the lesson series was completed in schools, we conducted interviews with teachers to understand their PCK on CT integration, attitudes toward CT integrated lessons, and the barriers teachers faced during CT integrated lessons. Our results indicate that compared to standard instructional activities, students can go deeper and understand the subject content better in CT integrated lessons, also students can use the power of digital technologies to solve subject-related problems. On the other hand, teachers pointed out that students and teachers need to be more capable of technical knowledge and skills to accomplish tasks.",Short Communication,University of Cambridge,ACM Transactions on Graphics
"Jos\'{e} Garc\'{\i}a-Pe\~{n}alvo, Francisco and Conde, Miguel \'{A}ngel and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}",Current trends in robotics in education and computational thinking,2021,9781450390668.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3486011.3486411,10.1145/3486011.3486411,"Computational thinking-related issues have had a specific track on TEEM Conference since 2016. This is the sixth edition of this track within the 2021 TEEM Conference edition. This year the papers are centered on programming and robotics, but the artificial intelligence topics increase their presence in the track.",Short Communication,Stanford University,PLOS ONE
"Liu, Xiaoying and Cong, Longjie and Xu, Jihong",The Influence of Problem Solving Based Practice on Pupils' Computational Thinking,2023,9781450398015.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3582580.3582632,10.1145/3582580.3582632,"The cultivation of computing thinking in primary school has attracted the attention of all countries in the world. Based on the fifth grade information technology curriculum of primary school, this paper constructs a practice link based on problem solving, namely, five main links: observe, write, paste or draw, attempt or create,share. It also verifies whether the practice link is conducive to promoting the development of students' computing thinking. The results show that, the practice link based on problem solving can not only promote the improvement of algorithm expression ability and programming ability of primary school students, but also exercise their ability to solve problems, establish and develop computing thinking. This practice link can provide feasible strategies for information technology courses in primary schools, and provide reference for the research and practice of computing thinking cultivation of primary school students in China.",Case Study,University of Hong Kong,ACM Transactions on Graphics
"Saito-Stehberger, Dana",Examples of Culturally Responsive Teaching in Computational Thinking Curriculum,2022,9781450390712.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3478432.3499247,10.1145/3478432.3499247,"Culturally Responsive Teaching (CRT) is a pedagogical strategy that aims to engage culturally and linguistically diverse students in the classroom, to validate and to empower them (Scott, Sheridan, \&amp; Clark, 2014; Gay, 2010). Five commonly described aspects of culturally responsive instruction include: (1) helping students to value the perspectives of others, (2) affirming a sense of belonging, (3) validating students' cultural identities, (4) educating students about the diversity of the world around them,&nbsp; (5) supporting students to develop an awareness the impactful social structures.&nbsp; Research has shown repeatedly that CRT increases the academic success of ethnically diverse communities&nbsp; (Gay, 2018; Ladson-Billings, 1995). This talk will provide examples of how CRT has been incorporated into a Scratch-based, upper-elementary computational thinking curriculum that was developed specifically for English language learners. Learning activities include cultural content, diverse role models in the computer science field, and student reflection.",Research Article,California Institute of Technology,Nature Communications
"Yong, Lin and Zhan, Zehui and Zou, Xuanxuan and Chen, Li and Lin, Zhihang and Zhan, Weiyu",Applying a Blended Board Game System with Robotic Arm for Training Computational Thinking: Learning through Human-Machine Competition,2023,9798400709142.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3625704.3625766,10.1145/3625704.3625766,"The purpose of this study is to design and developed a blended board game system with robotic arm for training students' computational thinking, and examine its effect in an elementary school's information technology course. A board game virtual interface was developed based on Unity-3D, and the corresponding device with a robotic arm was set up based on ESP32-CAM development board. The learning system enables a dual interaction mechanism by learning through Human-Machine Competition virtually or physically. By participating in the game, students faced challenges such as board game step reasoning, model abstract, decision-making, and strategic planning, thereby enhancing their computational thinking and problem-solving skills. Results indicated that the blended board game improve students’ overall computational thinking skills, especially reasoning, decision-making and strategic planning. This research provides an innovative approach to develop virtual-physical integrated game-based learning system for promoting students' computational thinking through human-machine competition.",Research Article,ETH Zurich,ACM Transactions on Graphics
"Mills, Kelly and Angevine, Colin and Weisgrau, Josh",Resources for Computational Thinking: Co-designing with Teachers,2020,9781450367936.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3328778.3372629,10.1145/3328778.3372629,"Computational thinking (CT) has become a recent policy agenda in order for students to develop interest and foundational understanding in computing and preparation for an increasingly technological workforce. In order to integrate CT into K-12 education, teachers need professional support. The field has faced common challenges developing professional learning experiences and resources that facilitate the integration of computational thinking in authentic, equitable and sustainable ways. We have worked with a cohort of over eighty teachers from around the United States to co-design and pilot pedagogical resources for computational thinking. In this poster, we summarize our co-design process with teachers and share the resources we developed for computational thinking integration.",Case Study,University of Cambridge,PLOS ONE
"Israel, Maya and Liu, Ruohan and Yan, Wei and Sherwood, Heather and Martin, Wendy and Fancsali, Cheri and Rivera-Cash, Edgar and Adair, Alexandra",Understanding barriers to school-wide computational thinking integration at the elementary grades: lessons from three schools,2022,9781450396158.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3507951.3519289,,"This mixed methods study examined barriers faced by three elementary schools in their approaches to integrating computational thinking (CT) into classroom instruction. Because CT is a relatively new instructional area, limited research guides CT integration, especially in bringing CT to academically, linguistically, and culturally diverse instruction. This study, therefore, examined challenges faced by teachers in bringing CT into their instructional practice. Data included interviews with 11 teachers and surveys of 46 teachers in a large, urban school district. The three schools in the district were part of a CS for All initiative in their school district. Data revealed common challenges: a) Limited CT teaching expertise; b) Limited time for CT integration; c) Lack of CT-specific assessment knowledge and tools; d) Limited pedagogical understanding for meeting students' diverse instructional needs; and e) Low teacher-buy-in for teaching CT. Our data also showed differences across schools in access to classroom implementation infrastructure such as technology and curricular resources, competing administrative priorities, and types of professional development opportunities. This study points to practical implications for supporting integration of CT in elementary contexts. Most notably, it is critical to proactively address these barriers in preservice and in-service teacher preparation as well as in school-wide infrastructure in order to have a sustained CT integration effort.",Technical Report,Yale University,Nature Communications
"Xin, Yue and Kramarczuk, Kristina Anna and Mak, Janice and Terrell Shockley, Ebony and Ketelhut, Diane Jass",Computational Thinking-Integrated Elementary Science with Culturally Responsive Teaching: A Vignette Study,2023,9781450394338.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3545947.3576255,10.1145/3545947.3576255,"In response to the persistent diversity gap that exists in the computing field, we implemented a five-day professional development (PD) workshop for elementary teachers on integrating computational thinking (CT) and culturally responsive teaching (CRT) practices into their existing science instruction. An explicit focus of this PD was to engage teachers in analyzing CT- and CRT-integrated science classroom scenarios (i.e., vignettes). Our analyses of video and written data of teachers' vignette responses indicate that while their understanding of CT increased as a result of the PD, the teachers need additional support around CRT. We suggest that future studies explore how teachers define and enact CRT, especially within their unique contexts.",Editorial,University of Cambridge,PLOS ONE
"Arnold, Ruedi and Amstalden, Barbara and Bader, J\""{o}rg",Enhancing the Role of Computational Thinking in Primary and Secondary Education in Switzerland,2022,9781450398534.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3556787.3556874,10.1145/3556787.3556874,"Computational Thinking (CT) is a fundamental and important skill set in our world and should therefore be taught and practiced in school. In this poster abstract, we present our ongoing initiative on establishing CT as a fundamental and interdisciplinary contribution of Computer Science as a necessary component of general education and describe our aim to enhance the knowledge about it in Switzerland’s teacher communities. We give an outline of our planned activities and present first results from a field test in a Swiss high school with an original example of CT-tailored teaching material for the subject of logic.",Technical Report,Columbia University,IEEE Transactions on Software Engineering
