Autores,Titulo,Año,ISBN,Editorial,Address,URL,DOI,Abstract
Chaoan Lai; Yanming Sun; Guoyan Yu,Integrated intelligent algorithm for product design based on simulation of creative thinking,2004,0-7803-8273-0,IEEE,,,10.1109/WCICA.2004.1343114,"In order to simulate creative design thinking of human being and then improve those product design methods commonly used, a model of creative thinking consisting of alternant emanative and converging thinking was put forth. These shortages in case-based reasoning (CBR) and genetic algorithms (GA) were analyzed by the model. It was proved that the fundamental reason of these shortages is that they only can simulate a single process in the model of creative thinking. Then a simulation algorithm of directed similarity association is brought forward so as to realize the computation of similarity degree of product demand between components, and simulate the whole model of creative thinking by combining CBR and GA. A corresponding product design system was put forward, and then an experiment was conducted, and the results show that the combined intelligent algorithm has good performance in search."
L. Wang; J. Zhou; X. Li,Influence of College Teacher’s Instructional Design on the Development of College Students’ Thinking of Innovation Multi-Algorithms Perspective Analysis,2024,,IEEE,,,10.1109/ACCESS.2024.3349979,"At present, innovation courses for college students play a vital role in universities. It has also become an important teaching platform for cultivating superior talents. How to improve the level of innovative thinking of college students into high-quality national strategic talents has become a research topic of great concern. However, many university teachers still follow traditional instructional design. It is impossible to implement a customized approach to education. Responding to the deficiencies in the instructional design of innovative training for university students, the support vector machine and K-means clustering algorithms are combined to create a revolutionary network instructional system, which is then used in an undergraduate course. A virtual reality classroom, real-time chat features, and an evaluation system are just a few of the elements that make up this system. It makes it possible to personalize learning, share open data, have real-time debates, and participate in a variety of virtual learning activities. Through the use of conventional datasets, this integrated multi-algorithmic system’s dependability is illustrated. It can meet the diverse learning needs of college students and help solve the weaknesses of traditional instructional design. Since 2022, four evaluation techniques have been used to confirm the efficacy of this teaching strategy: student recognition analysis, final test passing rate, competition winning percentage, and classroom activity level assessment. The results support the following: Compared with the traditional teaching design, the novel network instructional system is more conducive to helping college students cultivate learning interests and enhance their innovative thinking level. The adoption and dissemination of this strategy will undoubtedly advance educational research and improve college students’ capacity for creative thought, fostering the development of top-notch creative talent and advancing sustainable societal development."
J. Á. Velázquez-Iturbied,Towards an Analysis of Computational Thinking,2018,978-1-5386-6505-3,IEEE,,,10.1109/SIIE.2018.8586710,"The term “computational thinking” does not have an unambiguous meaning, therefore we address its analysis with the aim of making its meaning clearer. In the paper, we first present several definitions extracted from a number of relevant publications. Then, the main elements included in these definitions are analyzed. The analysis shows that such definitions are ambiguous and heterogeneous. Depending on each specific definition, they refer to concepts, skills, attitudes and transversal competences. Finally, the paper includes a section where these findings are analyzed and potential risks are identified."
S. Feng; D. Yang,Teachers' Perspective on Implementing Computational Thinking in Elementary Classrooms,2021,978-1-6654-3851-3,IEEE,,,10.1109/FIE49875.2021.9637221,"Computational thinking (CT) is a thought process designed to help students better solve complex problems using mental tools such as decomposition, abstraction, heuristics, data collection, algorithms, modeling, and communication (Wing, 2006). This study is part of a larger National Science Foundation funded STEM+C (computing) study that integrates CT in informal STEM learning. The informal STEM+CT curriculum resulted from the large study was guided by project-based learning (PBL) to help 4th to 6th grade students practice CT in the context of problem solving. Twenty-four teachers have worked with small groups of students in an afterschool community center program over an 8-weeks period. The larger STEM+C study also encouraged teachers in adapting the informal STEM+CT curriculum in their own classrooms, which eight of the 24 teachers have done so. This study investigates the participating teacher's perspective on implementing CT into elementary classrooms after they had facilitated the STEM+CT curriculum in community centers' after-school programs via interviewing 12 of the 24 teachers. The current study focuses on the challenges and issues regarding implementing CT in elementary classrooms. The results show that teachers collectively place the lack of time and the lack of professional development as the major obstacles in integrating CT into elementary classrooms."
B. Fradi; L. Cheniti-Belcadhi,Towards a Conceptual Model for a Smart Open learning environment based on Computational Thinking,2022,978-1-6654-4434-7,IEEE,,,10.1109/EDUCON52537.2022.9766625,"Currently, there is a daily evolution of the world and our current digital society faces challenges for changing the environment. Currently, learning environments are undergoing an evolution due the increasing development of mobile technologies. Designing and implementing Smart Learning Environments (SLEs) has emerged to enhance the learning process and the creation of content. In this paper, we are interested on SLE. Our objective is to propose a new pedagogical approach to provide adaptive and personalized open learning based on Computational Thinking (CT). This contribution describes the main theoretical relationships between SLE, Open Learner Model, Open Education Resource, Open Practice and Open Pedagogy when developing SLE to promote the learning process. New pedagogical approaches, based on openness, need to be implemented. The goal is to orchestrate between different features of SLE in order to propose a Smart Open Learning Environment (SOLE). We focus in particular on the pedagogical scenario that will be deployed in a Smart Open Learning Environment (SOLE). The proposed scenario is promoted by Smart Open Pedagogy to enhance CT. We aim to deliver open assessment adapted to specific learner context profile, progress and CT’s Level in the learning."
A. Krakowski; E. Greenwald; M. Comstock; N. Roman; J. Duke,A Typology of Models for Integrating Computational Thinking in Science (CT+S),2021,978-1-6654-4905-2,IEEE,,,10.1109/RESPECT51740.2021.9620553,"In order to expand opportunities to learn computer science (CS), there is a growing push for inclusion of CS concepts and practices, such as computational thinking (CT), in required subjects like science. Integrated, transdisciplinary (CS/CT+X) approaches have shown promise for broadening access to CS and CT learning opportunities, addressing potential self-selection bias associated with elective CS coursework and afterschool programs, and promoting a more expansive and authentic contextualization of CS work. Emerging research also points to pedagogical strategies that can transcend simply broadening access, by also working to confront barriers to equitable and inclusive engagement in CS. Yet, approaches to integration vary widely, and there is little consensus on whether and how different models for CS and CT integration contribute to desired outcomes. There has also been little theory development that can ground systematic examination of the affordances and tradeoffs of different models. Toward that end, we propose a typology through which to examine CT integration in science (CT +S). The purpose of delineating a typology of CT+S integration is to encourage instantiation, implementation, and inspection of different models for integration, and to promote shared understanding among learning designers, researchers, and practitioners working at the intersection of CT and science. For each model in the typology, we characterize how CT+S integration is accomplished, the ways in which CT learning supports science learning, and the affordances and tensions for equity and inclusion that may arise upon implementation in science classrooms."
Z. Xie; J. Radloff; G. K. W. Wong; I. H. Yeter,The Future Nexus of Computational Thinking Education: A Preliminary Systematic Review of Reviews,2022,978-1-6654-9117-4,IEEE,,,10.1109/TALE54877.2022.00096,"Recent years have seen a high volume of computational thinking (CT) review studies. However, there have been no existing studies that map these reviews with the goal of achieving comprehensive understanding of the field of CT. This paper utilizes Tikva & Tambouris’ (2021) K-12 CT research domain conceptual model as the basis for identifying and defining CT reviews, then maps the identified 38 CT reviews onto the identified domains. We pinpoint eight potential future review topics, including ""communities"" of tools, ""modeling simulations,"" ""problem-solving"" and ""scaffolding"" of learning strategies, ""demographic attributes"" of factors, ""practices"" and ""perspectives"" of the knowledge-based areas, and the ""teacher training"" of capacity building. We also examine the topical keywords of the reviews and identify that the scope of the term ""unplugged"" is vaguely defined among the existing research, suggesting a need to refine the definition of this frequently discussed topic so as to be able to more effectively conduct supplementary reviews. Our results help to better understand the CT review field and formulate future directions."
C. Cachero; P. Barra; S. Meliá; O. López,Impact of Programming Exposure on the Development of Computational Thinking Capabilities: An Empirical Study,2020,,IEEE,,,10.1109/ACCESS.2020.2987254,"Today's digital society has turned the development of students' computational thinking capabilities into a critical factor for their future success. As higher education institutions, we need to take responsibility for this development in every degree course we offer, and provide students with the kind of subjects and activities that best contribute to this aim. In this paper, we study the impact of following an introductory programming course on the development of the computational thinking capabilities of university students. In order to achieve this aim, a concurrent cohort observational study was carried out in which we measured both the subjective and objective computational thinking capabilities of 104 participants (50 first year students enrolled on a Bachelor's degree course in Psychology at the Catholic University of Murcia (UCAM), and 54 first year students enrolled on a Bachelor's degree course in Health Information Systems at the University of Alicante (UA)). The statistical procedures applied to test our hypotheses were a two-way mixed ANOVA, a paired-sample T-test and an independent-sample T-test. The data shows that the group at UA had an initial higher subjective perception of their computational capabilities than the group at UCAM. This perception was supported by their objective scores, which were also significantly higher. However, the subjective assessment of computational capability of the UA group diminished after exposure to the programming course, contrasting with the fact that their objective computational capabilities improved significantly. In the UCAM group, both subjective and objective capabilities remained constant over time. Based on these results, we can conclude that computational thinking capabilities are not developed naturally, but need to be trained. Providing such training to all our students, and not only to those enrolled on undergraduate degrees in engineering, is of paramount importance to allow them to face the challenges of their future professions. This paper empirically demonstrates the extent to which exposing subjects to a programming course may contribute to this aim."
P. Silapachote; A. Srisuphab; A. Hoonlor; T. Sunetnanta,Mastering basic Sorting Algorithms through Computational Thinking Activities for Everyone,2024,979-8-3503-9402-3,IEEE,,,10.1109/EDUCON60312.2024.10578701,"Sorting is an algorithmic concept that is covered in every fundamental computer science and engineering course and included in most if not all programming competitions. It is an everyday task, self-taught and done naturally even by a small child. In spite of its ingenuousness, mastering sorting algorithms turns out to be not so simple for many first-time programmers. This happens because how humans perform sorting is far from being straightforwardly aligned with machine instructions. We have developed an unplugged game-based learning activity that aims not only to tackle this difficult dilemma but also to promote computational thinking practice. Our game robustly challenges audiences to complete a fun sorting task algorithmically and the building blocks of the exercise are methodologically grounded in the four cornerstones of computational thinking. Participants are gently guided through solving a problem by decomposing it, recognizing patterns, applying abstraction, writing step-by-step instructions, and finally arriving at a programmable solution. Our design is largely flexible. The game can be played in small groups or larger ones. It uses only common, readily accessible materials, and is easily adaptable to different levels of audiences, from the interested general public to secondary school students and teachers, to non-computer science undergraduates and those majoring in engineering or information technology related subjects. We have implemented this activity in our classrooms and conducted several workshops. Responses were markedly positive. Engaged from the beginning to the end, participants enjoyed the activity, having fun sorting. Appreciated the ideas, audiences were captivated by many surprising challenges. Most notably, they were able to comprehend the concepts of sorting algorithms and the computational steps behind them, and gain a better understanding of computational thinking."
C. -K. Chang,Integrate social simulation content with game designing curriculum to foster computational thinking,2011,978-89-88678-47-3,IEEE,,,,"Computational thinking is a fundamental analytical ability to solve problems, design systems, and understand human behavior based on the fundamental concepts of computer science. The concept of computational thinking is almost needed on every profession in the computerization of society. Teaching computational thinking to cultivate problem solving ability by computer is a challenge of computer science education, especially for the K-12 level. Although studies introduce computational concepts by programming design, computational thinking and computer science are not computer programming. The study uses social simulation content (i.e. NetLogo, which uses muti-agent technology) to scaffold learning computational thinking concepts, such as simple genetic algorithm, parallel computing, artificial neural net, or deadlock (such as dining philosophers). To stimulate learning transfer onto computational thinking, NetLogo models library will be used to motivate reflection and meta-cognition development. Preliminary experimental results came from both questionnaires and artifacts. In the future, Gero's (1990) function-behaviour-structure (FBS) ontology will be used for the qualitative analysis to explain the outcomes of learning transfer."
C. Wang,Incorporating Real World Examples in a Random Signal Analysis Course,2022,978-1-6654-6244-0,IEEE,,,10.1109/FIE56618.2022.9962566,"This Research to Practice Full Paper presents the design and initial evaluation of engaging students in a random signal analysis course through a set of application-oriented mini-projects involving real-world examples. Many students struggle learning the concepts of probability and random processes due to its abstract nature. The goal of these mini-projects is to help students better understand abstract course concepts, let them practice applying course concepts to solve real world problems, and at the same time, improve their critical thinking and problem solving skills. This paper will describe the design and implementation of these mini-projects, as well as their preliminary evaluation."
E. C. Oliveira; R. C. M. Correia; R. Azevedo; S. Telles; A. A. Macedo; R. A. Bittencourt,A Computational Thinking Course for Pre-Service Teachers,2022,978-1-6654-4434-7,IEEE,,,10.1109/EDUCON52537.2022.9766601,"Computational Thinking (CT) is a set of thinking processes used by computer scientists to formulate problems and describe solutions. In recent years, CT has been largely explored by the Computing Education community. Due to its potential to contribute to problem solving and analytical thinking, CT could also be a relevant subject in K-12 education. For such, there is a need to qualify educators in CT. In this paper, we describe our experience in a large-scale course on Computational Thinking for pre-service teachers. Our goal is to qualify pre-service teachers in CT, both in the comprehension of its definition and how it can be incorporated in classroom. Our experience indicates that the participants had a positive awareness of CT concepts, as well as an adequate understanding of the pedagogical approaches to teach the subject. They also developed positive attitudes towards the field of Computer Science."
E. J. F. Costa; C. E. C. Campelo; L. M. R. S. Campos,Automatic Classification of Computational Thinking Skills in Elementary School Math Questions,2019,978-1-7281-1746-1,IEEE,,,10.1109/FIE43999.2019.9028499,"This research full paper presents the design of an automatic classifier for Computational Thinking skills in math questions, based on Machine Learning and Natural Language Processing techniques. We trained and evaluated our model using a dataset of real-world math questions. We obtained encouraging results that indicate the proposed approach may ease the process of assessing the level of alignment between math questions and Computational Thinking skills, which may help improve the problem-solving ability in students of elementary school. These results stimulate the use of automated environments for the elaboration, classification, and resolution of math questions in conformity with Computational Thinking skills."
R. Herrero-Álvarez; G. Miranda; C. León; E. Segredo,Engaging Primary and Secondary School Students in Computer Science Through Computational Thinking Training,2023,,IEEE,,,10.1109/TETC.2022.3163650,"Although Computer Science has grown to become one of the most highly demanded professional careers, every year, only a small percentage of students choose a degree directly related to Computer Science. Perhaps the problem lies in the lack of information that society has about Computer Science itself, and particularly about the work computer scientists do. No one doubts the role of Mathematics or Languages as core subjects in every primary and secondary education syllabus; however, Computer Science plays a negligible role in most current syllabuses. Only in a few countries have governments paid special attention to content related to Computer Science and to learning to analyze and solve problems the way computer scientists do (Computational Thinking). In this article, we present Piens@ Computacion@ULLmente, a project that provides a methodology to promote Computer Science through Computational Thinking activities among primary and secondary education students. The results obtained from an exhaustive statistical analysis of the data we collected demonstrate that the perception of Computer Science that pre-university students have can be improved through specific training. Moreover, we can also confirm that the performance of pre-university students involving Computational Thinking skills is independent of gender, particularly at the primary education level."
K. Falkner; R. Vivian; N. Falkner,Supporting Computational Thinking Development in K-6,2018,978-1-5386-7897-8,IEEE,,,10.1109/LaTICE.2018.00031,"This paper describes the CSER Digital Technologies MOOC curriculum, which aims to build confidence and awareness of fundamental computational thinking skills for teachers within the K-6 context. The CSER MOOC builds upon recent advances in the development of the Australian Curriculum Digital Technologies learning area, which explicitly addresses the development of computational thinking skills, moving ICT education away from digital literacy towards embedding the skills needed for the next generation to become creators of technology. The CSER MOOC presents a broad coverage of core computational thinking concepts, with a focus on integrating with existing learning areas and appropriate pedagogy for the K-6 context. In this paper, we discuss our course curriculum, its alignment with key concepts from the formal curriculum statements, example teacher assessments, and discuss key challenges and concerns."
Y. Anistyasari; E. Ekohariadi; I. G. P. Asto Buditjahjanto; S. C. Hidayati,Exploring The Psychometric Properties of Computational Thinking Assessment in Introductory Programming,2021,978-1-7281-3470-3,IEEE,,,10.1109/e-Engineering47629.2021.9470593,"Computational thinking (CT) is considered as the skill of 21st century. The fundamental CT concepts include abstraction, algorithm design, decomposition, pattern recognition, and data representation or generalization. CT assessment is required to improve the understanding of the cognitive abilities and to relate them in related areas, such as introductory programming in computer science. Assessing computational thinking skills however is a challenging issue since it measures latent variables that cannot be directly observed. In addition, according to psychometrics, appropriate test requires a validation process before it can be effectively used as a measuring instrument. Thus, high quality tools for measuring student learning in Introductory Programming have been under-developed and under-researched. The objective of this work is to determine the psychometric properties (item validity, reliability, discrimination, difficulty, and distractors) of the developed multiple-choice questions of computational thinking in introductory programming by exploring classical test theory and item response theory which has not been deeply investigated by previous studies. The analysis results reveal that most of items are valid and the items are generally adequate reliable. In spite of the fact that some items are suggested to be revised since the item discrimination values, the distribution of difficulties, and distractor points are less than the expected threshold."
T. Wu; M. Chang,Infusing Computational Thinking into the Accounting Curriculum - Framework and Perspectives,2021,978-1-6654-1891-1,IEEE,,,10.1109/ICET52293.2021.9563181,"In the last two decades, computational thinking has been integrated into teaching of Engineering and Computer Science majors, and other science and engineering disciplines in universities. Computational Thinking plays a potential role in cultivating Accounting students' ability to use technology to solve problems. To extend the application of computational thinking in disciplines that are not necessarily related to science and engineering, this study proposes a new theoretical framework and curriculum design to promote the infusion of CT in the Accounting curriculum."
Z. Lin; M. Ke,Instructional Procedure and Strategy of Primary School Programming Education Focusing on Cultivating Computational Thinking,2020,978-1-7281-9171-3,IEEE,,,10.1109/EITT50754.2020.00049,"Based on the analysis of some famous instructional cases in programming education and in-depth interviews with primary school teachers who are engaged in programming education, this paper focuses on the instructional procedure and strategies of primary school programming education for cultivating students' computational thinking. This examination reveals the current situation and possible problems in the practice of cultivating computational thinking and provide some useful references. Continuous comparison are used to code and analyze the interview data. The article founds that the instructional procedure of cultivating computational thinking in programming education generally involves five major stages: knowledge review, new knowledge exploration, problem analysis, programming on computer, and the stage of reflection. Instructional strategies accordingly include: mind map-supported, unplugged programming, flow chart use, pair programming, log reflection, and more. Finally, the paper concludes with the problems that appeared in teaching, especially in the stage of new knowledge exploration, unplugged programming and pair-programming."
B. Khayut; L. Fabri; M. Avikhana,A Computational System of Psycholinguistic Fuzzy Inference Under Uncertainty,2022,978-1-6654-9810-4,IEEE,,,10.1109/INISTA55318.2022.9894239,"The modern intelligent systems of the Narrow Artificial Intelligence (NAI) cannot independently and continuously think, reason, cognize, and carry out a Logical Inference, based on these computational reasonable functions under: a) uncertainty, b) time changing of the situations and objects of surrounding environment, and c) without using of the human's intellect for retrain (reprogramming) these systems. For a solution of these NAI's problem and in order to create a new reasonable generation of Artificial Intelligence Fuzzy Logic Inference Subsystem (AIFLIS), in this paper is proposed the conception, model, method and subsystem for modeling of the Computational Psycholinguistic and Cognitive Fuzzy Inference in the identified Subject Domain by implementation of the following Computational Brain's computational subsystems: a) identification and preprocessing of the psycholinguistic, lingual, sound, signal. and other meanings of objects, associated with the images of the subject area, and b) situational fuzzy control of computational memory, decision-making, reasoning, thinking, consciousness, awareness, cognition, intuition, wisdom, and others. To implement of the AIFLIS functionality, have been applied the Situational Control, Fuzzy Logic, Psycholinguistics, Data Science, and Informatics."
Yang Benluo; Li Shuguang,Preliminary thinking about the mathematic foundation of modern computational electromagnetism,2008,978-1-4244-2738-3,IEEE,,,10.1109/UWBUS.2008.4669406,"Computation of time-dependent electromagnetic field excited by a varying current distribution is the hardcore of modern computational electromagnetism. However, differing from other computing forms of field problem described by partial differential equations, the computation of electromagnetic field did not really use series of the general, abstract and formalized methods. And people have to construct forms of different models to make computation. Such a method of computation can also arrange forms particular propositions suitably. But, it cannot be regarded as a universal method and it is usually implicates some logic mistakes and physical distortion. The reason would be: time-dependent electromagnetic field lacks of a united mathematical physical model that can guarantee both the partial differential equations and boundary conditions consistent in logic. In reverse, if a general mathematical model is perfect in logic, it can not only allow us to effectively use the computation methods supplied by computational mathematics but also provide more full and more exact information about electromagnetic field."
S. Jacob; H. Nguyen; L. Garcia; D. Richardson; M. Warschauer,Teaching Computational Thinking to Multilingual Students through Inquiry-based Learning,2020,978-1-7281-7172-2,IEEE,,,10.1109/RESPECT49803.2020.9272487,"Central to the theory of learning are inquiry-based approaches to education. Whereas there is a plethora of research on inquiry learning in the domain of science [19], [20], few studies have analyzed how inquiry-based learning can be applied to computer science education, and how different approaches to inquiry may benefit diverse learners. This is one of the first studies to analyze teacher enactment of inquiry-based learning during the implementation of an upper elementary, computational thinking curriculum, and to explore how teacher approaches to inquiry appear to support or constrain multilingual students' development of computational thinking and computer science identities. Design-based research was used to iteratively develop, test, and refine the inquiry-based curriculum, which aligns with computer science and literacy standards, provides linguistic scaffolding, and integrates culturally responsive materials. We adopt a cross-case mixed-methods design to collect data from five teachers and 149 students including detailed field notes, teacher interviews, student computational artifacts, and student identity surveys. Through analyses of teacher moves, we find that teachers adopt different approaches to inquiry that can be indexed along a continuum ranging from open to closed. Patterns in student data revealed that those who received more structured inquiry lessons developed more sophisticated computational artifacts and showed greater identification with the field of computer science. Findings from this study are being used to add more structured inquiry approaches to the next iteration of our curriculum, including integrating USE/MODIFY/CREATE models into lessons and applying metacognitive strategies from reading research to students' programming activities."
C. P. Singh; Y. Kerimbekov; T. Cech,Enhancing Students' Computational Ability Using Multiple Intelligence: A Case Study with High School Computer Science Students,2023,979-8-3503-9324-8,IEEE,,,10.1109/ICCAKM58659.2023.10449638,"In the rapidly evolving landscape of education, the cultivation of computational skills and the enhancement of students' intellectual abilities remain of paramount importance. This research paper delves into the innovative approach of leveraging Multiple Intelligence (MI) theory to foster computational skills among high school students. The study specifically focuses on a group of 26 computer science high school students at N azarbayev Intellectual School in Shymkent, Kazakhstan. The research employs a comprehensive and structured methodology that integrates MI principles into the classroom environment. Over a designated timeframe, students participate in a variety of activities designed to engage and stimulate each of their unique intelligences. Language, mathematics, spatial perception, motor skills, music, personal, and intrapersonal communication intelligences are all encompassed in these pursuits., creating a holistic learning experience. Data collection encompasses a multitude of measures, including pre- and post-assessments, observations, and student feedback, to gauge demonstrate the significant improvement in students' computational abilities following the MI-enhanced curriculum. In particular, students displayed increased problem-solving skills, critical thinking, creativity, and adaptability when confronted with computational challenges. The conclusion of this study contribute significant analysis into the potential of MI theory to transform traditional computer science education. By providing a dynamic and inclusive learning environment that nurtures students' diverse intellectual strengths, educators can empower learners to excel in computational disciplines. This research paper encourages further exploration of MI- based strategies to enhance computational abilities and inspires a shift towards more personalized and inspires a shift towards more personalized and effective teaching methodologies."
Y. He; H. Yang; H. He; X. Zheng,Design of smart tourism platform under Double Diamond Model design thinking,2023,979-8-3503-1745-9,IEEE,,,10.1109/ISCID59865.2023.00031,"In the context of digitalization, employing the dual-diamond model design thinking, we dissect the design of smart tourism systems to enhance user-centric experiences. Firstly, through a literature review, we delve into the concept and design process of the dual-diamond model while exploring the feasibility of digital technologies. Subsequently, harnessing the characteristics of the dual-diamond design thinking, we embark on the entire design process. During the exploration phase, we gather firsthand user pain points through user interviews, complemented by secondary data from the internet. This aids in constructing user journey maps and user models, defining user segments, and identifying design opportunities. Following this, we proceed with the functional reconstruction and interface prototyping of the smart tourism application, with a focus on features such as automated travel guides, visualized travel itineraries, panoramic guides, personalized travel companion searches, and intelligent user interactions. Conducting empirical design validation, we observed a high level of user satisfaction. Consequently, iterative design improvements were made, serving as a reference for future smart travel service promotion and development, thus advancing the growth of personalized tourism."
S. Arwatchananukul; P. Jakkaew; W. Intayoad; N. Aunsri,A Case Study in Class User Interface Design of Problem-Based Learning Modeling (UIDPBL),2021,978-1-6654-1569-9,IEEE,,,10.1109/ECTIDAMTNCON51128.2021.9425750,"Problem-Based Learning (PBL) is a student oriented learning method that using real-life practical problems to start the learning process in order to encourage problem solving skills. In User Interface Design course, the teaching and learning are not only focus on the theoretical knowledge but also focus on motivating students in soft skills. Therefore, this research purposes a Class User Interface Design of Problem-Based Learning Modeling (UIDPBL) in order to promote the 21st century of 4Cs skills - communication, collaboration, creativity, and critical thinking skills. The proposed model applies the PBL concept to the class User Interface Design. The study is evaluated by both summative assessment and formative assessment. The student learning out come as the final grading and student feedback from a questionnaire at the end of the UIDPBL cycle are taken into account. The results presented that our proposed model, UIDPBL, is able to encourage students to gain the 21st century of 4Cs skills."
Y. He; W. Deng; M. Liu,Design and Application of a Game Activity-Based Unplugged Programming Curriculum for Elementary Schools,2023,979-8-3503-8336-2,IEEE,,,10.1109/EITT61659.2023.00011,"A series of unplugged programming courses based on game activities has been designed and developed to reduce the difficulty of programming courses in elementary school and to develop computational thinking skills in elementary school students. Four components were designed for the course: course objectives, course content, course activities, and course evaluation. A controlled experiment was performed to validate the course's influence on developing learners' computational thinking, and a questionnaire was employed to examine the experimental class learners' experience with the course. The results found that the level of computational thinking in the experimental class was also significantly different from the pretest, and the students in the experimental class rated each item of the course above 7 points. This indicates that this course has a significant effect on cultivating students' computational thinking, and the learners had a good learning experience and made gains from this course."
A. M. Seoane Pardo,Computational Thinking Between Philosophy and STEM—Programming Decision Making Applied to the Behavior of “Moral Machines” in Ethical Values Classroom,2018,,IEEE,,,10.1109/RITA.2018.2809940,"This paper describes a learning activity on computational thinking in ethics classroom with compulsory secondary school students (14-16 years old). It is based on the assumption that computational thinking (or better “logical thinking”) is applicable not only to science, technology, engineering, and mathematics subjects but to any other field in education, and it is particularly suited for decision making in moral dilemmas. This will be carried out through the study of so called “moral machines,"" using a game-based learning approach on self-driving vehicles and the need to program such cars to perform certain behavior's under extreme situations. Students will be asked to logically base their reasoning on different ethical approaches and try to develop a schema of decision making that could serve to program a machine to respond to those situations. Students will also have to deal with the uncertainty of reaching solutions that will be debatable and not universally accepted as a part of the difficulty, more ethical than technical, to provide machines with the ability to take decisions where there is no such thing as a “right” versus “wrong” answer, and potentially both (or more) of the possible actions will bring unwanted consequences."
R. Munoz; R. Villarroel; T. S. Barcelos; F. Riquelme; Á. Quezada; P. Bustos-Valenzuela,Developing Computational Thinking Skills in Adolescents With Autism Spectrum Disorder Through Digital Game Programming,2018,,IEEE,,,10.1109/ACCESS.2018.2877417,"In the last years, many didactic activities have been proposed to develop Computational Thinking (CT) skills in children and adolescents. Among these activities, the digital game programming stands out as a promising alternative considering that it is related to a familiar and motivating context for students. These initiatives are not specifically aimed at individuals with special needs such as the autism spectrum disorder (ASD). Children and adolescents with ASD usually have some limitations related to communication, cognitive flexibility, and interpersonal relationships. However, it seems natural that the skills potentially developed through game programming activities are especially beneficial for the public with ASD. In this paper, we describe the offering and evaluation of a Game Building Workshop adapted to adolescents with this condition. The guidelines used to define the workshop activities are described. An assessment based on the classroom observation and analysis of produced artifacts indicate that the participants acquired CT skills related to programming at a high level. In addition, the collaborative nature of the activities offered a stimulating and welcoming environment for individuals with ASD."
W. Prompolmaueng; A. Wetmaha; P. Jamsri,A Game Development to Promote Computational Thinking,2021,978-1-6654-4306-7,IEEE,,,10.1109/ICITEE53064.2021.9611850,"This paper focuses on game development using Mixed Reality technology, the Magic Leap One device, by exploring with The Lab and Unreal Engine program that are developed in game interpolating Computational Thinking (CT). The research device focuses on integrating thinking skills into 3D games with real-time user interaction. From mixed reality (MR) the application of technology is evaluated in its use for learning effectiveness. The game aims to promote a computational thinking process based on the terms and conditions within 5 levels as well as the complexity of the game with more obstacles in each level as the character travels from beginning to destination. Commands provide for different contexts. Major goal is using mixed reality technology to advance convergence in computing education and training in computational thinking (CT) to help players strengthen their thinking process and CT through the game. This game can be an alternative learning medium for the educator in primary school (Grade 4–6). The assessment of target users 10–15 persons before and after the game tests have 3 aspects in technology, CT, and usability of game performance. An expert evaluation was conducted after the test. Assessment of the overall game focuses on building of CT skill within the game relative to project objectives. Evaluation results were 77.8% by users and 88.6% by the expert. Furthermore, some useful suggestions from assessment suggest adding workshop guidelines for educators or trainers. Thus, this project contributes to the computing education community by using available cutting-edge technology as an optional teaching tool in CT that suits learners in education at the primary level and looks toward future development for higher education."
H. -I. Yang; P. Martin; D. Satterfield; R. Babbitt; J. Wong; M. Shelley; C. K. Chang,A novel interdisciplinary course in gerontechnology for disseminating computational thinking,2011,978-1-61284-469-5,IEEE,,,10.1109/FIE.2011.6142928,"While specialized knowledge and skills are the hallmark of modern society, the size and complexity of contemporary problems often require cooperative effort to analyze and solve. Therefore, experiences with skills, methodologies, and tools for effective interdisciplinary collaboration and structured problem solving are vital for preparing students for future academic and professional success. Meanwhile, computational systems have permeated much of modern professional and personal life, making computational thinking an essential skill for members of modern society. However, formal training in these techniques is primarily limited to students within computer science, mathematics, management of information systems, and engineering. At Iowa State University, we have designed and offered an experimental course to develop undergraduate students' abilities for interdisciplinary teamwork and to disseminate computational thinking skills to a broader range of students. This novel course was jointly designed and instructed by faculty from the Computer Science Department, Gerontology Program, and Graphic Design Program to incorporate diverse faculty expertise and pedagogical approaches. Students were required to interview real users to identify real-life problems, gather requirements, and assess candidate solutions, which necessitated communication both within the group and with technologically-disinclined users. In-class presentations and wiki-based project websites provided regular practice at disseminating domain expertise to larger interdisciplinary audiences. Workshops, group-based mentoring, peer learning, and guided discovery allowed non-CS majors to learn much more about computer programs and tools, and grading criteria held students individually accountable within their disciplines but also emphasized group collaboration"
N. J. Ruzycki; L. Dela Fuente Imperial; K. Dulany; J. Carter; S. N. Kerr; C. A. Danger; L. Arnold,Building Conceptual Models and Engineering Design Thinking in K12 Students,2021,978-1-6654-2488-2,IEEE,,,10.1109/WEEF/GEDC53299.2021.9657426,This half-day workshop will engage participants in understanding how engineering design practices can be brought into core content classes to support conceptual model development in students as part of the model development cycle. Participants will have a chance to map this learning using frameworks developed by the facilitators.
