Authors,afiliacion_primer_autor,Cantidad
"Bell, Tim and Duncan, Caitlin and Atlas, James",University of Tokyo,1
"Bellino, Alessio",Imperial College London,1
"Bellino, Alessio and Herskovic, Valeria",Columbia University,1
"Benavides-Escola, Christian Andr\'{e}s and Mart\'{\i}n-Barroso, Estefan\'{\i}a and Zapata-C\'{a}ceres, Mar\'{\i}a and Rom\'{a}n-Gonz\'{a}lez, Marcos",University of Oxford,1
"Bender, Jeff and Zhao, Bingpu and Dziena, Alex and Kaiser, Gail",Imperial College London,1
"Benkarroum, Younes and Azhar, Mohammad Q.",Harvard University,1
"Bo, Li and Xiaobin, Zhang and Ning, Wu",California Institute of Technology,1
"Boom, Kay-Dennis and Bower, Matt and Arguel, Ama\""{e}l and Siemon, Jens and Scholkmann, Antonia",MIT,1
Boqin Liu; Junmei He,National University of Singapore,1
"Boulden, Danielle and Smith, Andy and Cully, Kimkinyona and Houchins, Jennifer and Elsayed, Rasha and Hubbard Cheuoua, Aleata and Minogue, James and Oliver, Kevin and Ringstaff, Cathy and Mott, Bradford",MIT,1
"Brackmann, Christian P. and Rom\'{a}n-Gonz\'{a}lez, Marcos and Robles, Gregorio and Moreno-Le\'{o}n, Jes\'{u}s and Casali, Ana and Barone, Dante",Tsinghua University,1
"Brooks, Eva and Sj\""{o}berg, Jeanette",University of Tokyo,1
"Brunvand, Erik",Princeton University,1
"Bryndov\'{a}, Lucie and Mali\v{s}\r{u}, Petri",University of Hong Kong,1
"Bugayenko, Yegor and Guzdial, Mark",California Institute of Technology,1
C. -C. Hu; H. -T. Tseng; M. -H. Chen; A. Goh Phaik Imm; N. -S. Chen,University of Toronto,1
C. -C. Hu; M. -H. Chen; I. Yuadi; N. -S. Chen,Princeton University,1
C. -C. Lin; P. -Y. Chao; E. -T. Lin; H. -L. Tzeng,University of Toronto,1
C. -H. Lai; C. -H. Hsieh,University of Sydney,1
C. -H. Wang; K. -C. Wu,University of Oxford,1
C. -K. Chang,University of Chicago,1
C. -K. Chang,University of Sydney,1
C. -K. Chang; Y. -T. Tsai,University of Tokyo,1
C. -K. Chang; Y. -T. Tsai; Y. -L. Chin,National University of Singapore,1
C. -S. Lee,National University of Singapore,1
C. -S. Lee,University of Sydney,1
C. -S. Lee; K. D. Wong,Imperial College London,1
C. -S. Lee; K. D. Wong,University of Hong Kong,1
C. -S. Lee; M. -H. Wang; L. -W. Ko; Y. -H. Lee; H. Ohashi; N. Kubota; Y. Nojima; S. -F. Su,Peking University,1
C. -Y. Chang; Z. Du; H. -C. Kuo; C. -C. Chang,Peking University,1
C. -Y. Chung; I. -H. Hsiao,University of Hong Kong,1
C. -x. Li; S. -m. Zhang,Imperial College London,1
C. -y. Chang; Y. -p. Chen,University of Sydney,1
C. A. Gomes; H. Gomes; B. Rego; B. Sousa; M. Loureiro; P. Rocha,University of Hong Kong,1
C. A. Gomes; H. Gomes; M. Figueiredo; A. Lucas; L. Menezes,University of Chicago,1
C. A. N. Johnson; M. F. Bin Daud; M. B. Arsat; W. N. Bt. Wan Hussin; E. I. Egba,Yale University,1
C. Araújo; L. V. O. Lima; P. R. Henriques,ETH Zurich,1
C. Araújo; P. R. Henriques; J. J. Cerqueira,ETH Zurich,1
C. Araújo; P. R. Henriques; J. J. Cerqueira,Peking University,1
C. Araújo; P. Rangel Henriques; J. José Cerqueira,National University of Singapore,1
C. Bain; G. Anton; M. Horn; U. Wilensky,Yale University,1
C. Barros; M. Vicente; E. Lloret,University of Melbourne,1
C. Boya-Lara; D. Diaz-Solano; A. Fehrenbach; D. Saavedra,Yale University,1
C. Brackmann; D. Barone; A. Casali; R. Boucinha; S. Muñoz-Hernandez,Tsinghua University,1
C. C. Dony; A. Magdy; S. Rey; A. Nara; T. Herman; M. Solem,University of Hong Kong,1
C. Cachero; P. Barra; S. Meliá; O. López,Imperial College London,1
C. Chytas; A. Tsilingiris; I. Diethelm,Tsinghua University,1
C. E. Vergara; M. Urban-Lurain; C. Dresen; T. Coxen; T. MacFarlane; K. Frazier; D. Briedis; N. Buch; A. -H. Esfahanian; L. Paquette; J. Sticklen; J. LaPrad; T. F. Wolff,Columbia University,1
C. Enríquez; O. Aguilar; F. Domínguez,University of Melbourne,1
C. Evia; M. R. Sharp; M. A. Pérez-Quiñones,Yale University,1
C. F. Pimentel; M. R. Cravo,California Institute of Technology,1
C. F. Rodrigues; I. F. Silveira,University of Melbourne,1
C. Gang; L. Junyan; Z. Shaolin,California Institute of Technology,1
C. Guangzuo; Wei Xuefeng; Lili Wang Boling,University of Toronto,1
C. Hösel; M. Heinzig; R. Vogel; C. Roschke; A. Kühn; F. Schmidsberger; M. Vodel; M. Ritter,Tsinghua University,1
C. J. Park; J. S. Hyun; J. Heuilan,University of Cambridge,1
C. K. Shyamala; C. S. Velayutham; L. Parameswaran,Yale University,1
C. Kazimoglu,Peking University,1
C. León; P. Gervás; P. Delatorre,University of Tokyo,1
C. Li; Y. Chen; Z. Li; K. Barkaoui,Harvard University,1
C. Mercier,University of Cambridge,1
C. Mercier; L. Roux; M. Romero; F. Alexandre; T. Viéville,Tsinghua University,1
C. Mestre; C. Martins; C. Tourais; I. Guerra,Columbia University,1
C. Otero Avila; L. Foss; A. Bordini; M. Simone Debacco; S. A. da Costa Cavalheiro,University of Sydney,1
C. P. Singh; Y. Kerimbekov; T. Cech,Harvard University,1
C. S. Drozdowski; S. Emeghara; T. J. Marlowe; K. G. Herbert; V. K. Anu; S. Hagiwara; S. A. Robila,Princeton University,1
C. S. González-González; P. Caballero-Gil; A. García-Holgado; F. J. García-Peñalvo; J. Molina; J. M. del Castillo-Olivares; B. C. San Juan; S. G. Cuesta; I. Perdomo; C. Caballero-Gil; F. Gutíerrez-Vela; P. Paderewski; V. V. Holz; R. G. Iranzo; S. Ramos,California Institute of Technology,1
C. S. Lee; C. -C. Chou,National University of Singapore,1
C. Vieira; D. Restrepo; J. L. De La Hoz,MIT,1
C. Wang,California Institute of Technology,1
C. Wang; Z. Man; J. Jin; W. Ye,University of Sydney,1
C. Weiwei; L. Zhigang; B. Aihua; T. Yanqin,Columbia University,1
C. Xiaohong; L. Jie; M. Zhibin; X. Li,Harvard University,1
C. Xu; Z. Feng; P. Qi; Y. Sun,Harvard University,1
C. Xue; W. Zhun,University of Melbourne,1
C. Y. Lester,Harvard University,1
C. Yang; W. Lv; W. Zhang,University of Tokyo,1
C. Zhang; X. Chen; J. Li,Stanford University,1
C. Zheng,MIT,1
C. Zhu; J. E. Ahn; L. Cui; R. Hare; Y. Tang,Harvard University,1
CACM Staff,National University of Singapore,1
CACM Staff,Princeton University,1
"Caballero-Gonzalez, Yen-Air and Mu\~{n}oz-Repiso, Ana Garc\'{\i}a-Valc\'{a}rcel and Garc\'{\i}a-Holgado, Alicia",Harvard University,1
Caetano C.; Morgado L.; Lima P.; Hens N.; Nunes B.,Peking University,1
"Calderon, Ana C. and Crick, Tom",University of Chicago,1
"Calderon, Ana C. and Crick, Tom and Tryfona, Catherine",Yale University,1
Cano-Guervos R.; Chica-Olmo J.; Chica-Garcia J.,Yale University,1
Cappanera P.; Visintin F.; Vannelli S.,University of Melbourne,1
"Caskurlu, Secil and Hu, Anne Drew and Yadav, Aman and Santo, Rafi",University of Melbourne,1
"Caskurlu, Secil and Yadav, Aman and Santo, Rafi",Columbia University,1
"Caspersen, Michael E. and Nowack, Palle",Imperial College London,1
"Castle, Sarah D.",California Institute of Technology,1
"Castro, Francisco Enrique Vicente",University of Hong Kong,1
"Catet\'{e}, Veronica and Lytle, Nicholas and Dong, Yihuan and Boulden, Danielle and Akram, Bita and Houchins, Jennifer and Barnes, Tiffany and Wiebe, Eric and Lester, James and Mott, Bradford and Boyer, Kristy",University of Cambridge,1
Cerqueti R.; Ramponi A.; Scarlatti S.,Harvard University,1
"Chaabi, Hasnaa and Azmani, Amina and Dodero, Juan Manuel",Stanford University,1
Chaoan Lai; Yanming Sun; Guoyan Yu,University of Toronto,1
"Charles, Thea and Oliver, Amber and Mulloy, Kate",Yale University,1
"Che Kamaruddin, Ahmad Rasydan and Low, Jing Hong and Sarwar, Abdullah",Peking University,1
Chen S.-P.; Lin Y.-R.,Columbia University,1
"Chen, Juan and Shen, Li and Yin, Jianping and Zhang, Chunyuan",MIT,1
"Chen, MingQi and Xu, JiHong and Wang, YiChuan",Columbia University,1
"Chen, Yunshan and Wang, Yining and Li, Yanyan",ETH Zurich,1
Cheruvari A.; Kammara R.,Tsinghua University,1
"Chiazzese, Giuseppe and Arrigo, Marco and Chifari, Antonella and Lonati, Violetta and Tosto, Crispino",MIT,1
"Chiazzese, Giuseppe and Fulantelli, Giovanni and Pipitone, Vito and Taibi, Davide",ETH Zurich,1
"Chiprianov, Vanea and Gallon, Laurent",University of Chicago,1
"Choi, Wan Chong",University of Sydney,1
"Choi, Wan Chong and Chang, Chi In",University of Tokyo,1
"Choi, Wan Chong and Choi, Iek Chong",Stanford University,1
"Chowdhury, Bushra",University of Sydney,1
"Chowdhury, Bushra and Bart, Austin Cory and Kafura, Dennis",Imperial College London,1
"Chung, Cheng-Yu and Hsiao, I-Han",National University of Singapore,1
"Coenraad, Merijke and Cabrera, Lautaro and Killen, Heather and Plane, Jan and Ketelhut, Diane Jass",Harvard University,1
"Coenraad, Merijke and Rangel, Alessandra and Burke, Quinn and Mills, Kelly and Ruiz, Pati and Dunbar, Kyle",MIT,1
"Cole, Elizabeth C.",Harvard University,1
"Collado-S\'{a}nchez, Mar\'{\i}a and Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e} and Pinto-Llorente, Ana Mar\'{\i}a",Columbia University,1
"Conde, Miguel \'{A}. and Fern\'{a}ndez, Camino and Alves, Jonny and Ramos, Mar\'{\i}a-Jo\~{a}o and Celis-Tena, Susana and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e} and Reimann, Daniela and Jormanainen, Ilkka and Pe\~{n}alvo, Francisco J. Garc\'{\i}a",University of Sydney,1
"Conde, Miguel \'{A}. and Fern\'{a}ndez-Llamas, Camino and Rodr\'{\i}guez-Sedano, Francisco J. and Guerrero-Higueras, \'{A}ngel M. and Matell\'{a}n-Olivera, Vicente and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",Princeton University,1
"Corradini, Isabella and Lodi, Michael and Nardelli, Enrico",University of Chicago,2
Costa Fonseca N.; Vinícius de França Carvalho J.,Peking University,1
Cui Haiying; Shao Lijun; Wang Jing,University of Toronto,1
"Curzon, Paul",University of Cambridge,1
"Curzon, Paul and McOwan, Peter W. and Plant, Nicola and Meagher, Laura R.",Tsinghua University,1
"Cutts, Quintin and Donaldson, Peter and Cole, Elizabeth and Alshaigy, Bedour and Gutica, Mirela and Hellas, Arto and Larraza-Mendiluze, Edurne and McCartney, Robert and Patitsas, Elizabeth and Riedesel, Charles",Peking University,1
D'Orsi G.; Palladini M.; Mazza M.G.; Rovere-Querini P.; Scalabrini A.; Benedetti F.,Peking University,1
D. Apostolou; K. Zachos; N. Maiden; N. Agell; G. Sanchez-Hernandez; M. Taramigkou; K. Star; M. Wippoo,University of Sydney,1
D. Assaf; Y. Neuman; Y. Cohen; S. Argamon; N. Howard; M. Last; O. Frieder; M. Koppel,University of Melbourne,1
D. Cartes; J. H. Chow; D. McCaugherty; S. Widergren; G. Kumar Venayagamoorthy,University of Oxford,1
D. F. Shell; M. P. Hazley; L. -K. Soh; L. Dee Miller; V. Chiriacescu; E. Ingraham,University of Hong Kong,1
D. Gkountelos; M. Kokhazadeh; C. Bournas; G. Keramidas; V. Kelefouras,Harvard University,1
D. Gong; H. H. Yang; J. Cai,University of Toronto,1
D. Hemin; J. Junjie,MIT,1
D. M. Mathews; S. Abraham,National University of Singapore,1
D. M. Morrison; H. Xiangen,Harvard University,1
D. Pale-Parra; C. Pérez-Salazar; Á. J. Sánchez-García; J. O. Ocharán-Hernández,University of Hong Kong,1
D. Palma; D. P. Flores; J. Miraval; A. Rodríguez; D. Espinoza; J. Díaz León,Harvard University,1
D. Parmar; L. Lin; N. DSouza; S. Jörg; A. E. Leonard; S. B. Daily; S. V. Babu,National University of Singapore,1
D. Parmar; S. V. Babu; L. Lin; S. Jörg; N. D'Souza; A. E. Leonard; S. B. Daily,Yale University,1
D. Q. Chen; H. Liang,Columbia University,1
D. R. Romadhon; M. D. H. Rahiem; R. Faeruz; E. Muliyah; Asmui; N. F. Wulansari,Princeton University,1
D. Ruiz-Perez; H. Guan; P. Madhivanan; K. Mathee; G. Narasimhan,University of Hong Kong,1
D. Russo; M. Missiroli; P. Ciancarini,University of Oxford,1
D. S. Rana; S. C. Dimri; P. Malik; S. A. Dhondiyal,Princeton University,1
D. S. Silva; S. L. Melo; J. R. Basto Diniz,University of Chicago,1
D. S. Touretzky,University of Melbourne,1
D. Sarkar; T. Khan; F. A. Talukdar; S. R. Rengarajan,University of Melbourne,1
D. Shi; J. Kralik; H. Mi,Stanford University,1
D. Tuparova,University of Oxford,1
D. Yang; S. Feng,ETH Zurich,1
D. Yang; Y. Baek; S. Swanson,California Institute of Technology,1
D. Zhao; Y. Li,University of Tokyo,1
Dai-Yi Wang; Zong-Han Wu; Chuen-Tsai Sun; S. S. J. Lin,Imperial College London,1
Darwiche M.; Faraj J.; Ali S.; Murr R.; Taher R.; El Hage H.; Khaled M.,National University of Singapore,1
"Dasgupta, Sayamindu and Hale, William and Monroy-Hern\'{a}ndez, Andr\'{e}s and Hill, Benjamin Mako",National University of Singapore,1
"Davis, Kylie and Shneyer, Elana",California Institute of Technology,1
"De Jong, Imke and Jeuring, Johan",Imperial College London,1
"De Jong, Imke and Sichterman, Bo and Jeuring, Johan",Stanford University,1
"DePryck, Koen",University of Chicago,1
"Dengel, Andreas and Heuer, Ute",University of Tokyo,1
"Denning, Peter J.",Columbia University,1
"Denning, Peter J. and Tedre, Matti",ETH Zurich,1
Di Domenico L.; Goldberg Y.; Colizza V.,University of Tokyo,1
"Dietz, Griffin and Le, Jimmy K and Tamer, Nadin and Han, Jenny and Gweon, Hyowon and Murnane, Elizabeth L and Landay, James A.",University of Cambridge,1
Dimbleby B.; Greenway W.; Burns S.O.; Richter A.G.; Shields A.M.,University of Toronto,1
"Dodero, Juan Manuel and Mota, Jos\'{e} Miguel and Ruiz-Rube, Iv\'{a}n",Peking University,1
"Doore, Karen",University of Melbourne,1
"Dragon, Tom\'{a}\v{s}",California Institute of Technology,1
"Dragon, Tom\'{a}\v{s}",University of Tokyo,1
"Dunbar, Kyle M. and Coenraad, Merijke and Iwatani, Emi",National University of Singapore,1
"Duncan, Caitlin",MIT,1
E. C. Juárez; D. S. Guzmán,University of Melbourne,1
E. C. Oliveira; R. A. Bittencourt; R. P. Trindade,University of Chicago,1
E. C. Oliveira; R. C. M. Correia; R. Azevedo; S. Telles; A. A. Macedo; R. A. Bittencourt,University of Sydney,1
E. Castro; T. Sakata; L. Zaina,ETH Zurich,1
E. Coutinho; M. Gimenes; J. M. Martins; E. R. Miranda,ETH Zurich,1
E. Daglarli,University of Chicago,1
E. Halim; Kevin; H. Kristian; M. Hebrard,Stanford University,1
E. J. F. Costa; C. E. C. Campelo; L. M. R. S. Campos,MIT,1
E. J. F. Costa; L. M. R. S. Campos; D. Dario Serey Guerrero,University of Oxford,1
E. Kaila; M. -J. Laakso; E. Kurvinen,University of Sydney,1
E. Karakaş; M. Turhan Yöndem,University of Sydney,1
E. Kuznetsova; N. Zhbanova; T. Fomina; M. Karlova,University of Melbourne,1
E. Liao,University of Tokyo,1
E. Lotfi; M. R. Akbarzadeh-T,Princeton University,1
E. M. Slomp; E. Schuhmacher; V. R. N. Schuhmacher,University of Sydney,1
E. Marchetti; A. Valente; N. B. Dohn,Stanford University,1
E. Micheli-Tzanakou; A. Eugene; M. Tan; K. Kim,Imperial College London,1
E. P. S. Baumer; J. Sinclair; D. Hubin; B. Tomlinson,University of Chicago,1
E. Prieto-Rodriguez; R. Berretta,ETH Zurich,1
E. Relkin; M. Bers,MIT,1
E. Surahman; T. Hua Wang; K. -F. Turner Lam; Sulthoni; U. Nendra Pratama; E. Nur Aisyah,Stanford University,1
E. Tóth-Laufer,California Institute of Technology,1
E. Vlahu-Gjorgievska; M. Videnovik; V. Trajkovik,University of Toronto,1
E. Y. Privodnova; N. V. Volf; E. A. Merculova,University of Chicago,1
Entrenas-Castillo M.; Entrenas-Costa L.M.; Pata M.P.; Gamez B.J.; Muñoz-Corroto C.; Gómez-Rebollo C.; Mira-Padilla E.; Bouillon R.; Quesada-Gomez J.M.,University of Oxford,1
"Espinal, Alejandro and Vieira, Camilo and Magana, Alejandra J.",National University of Singapore,1
"Espino, Elisenda Eva Espino and Gonz\'{a}lez, Carina Gonz\'{a}lez",Stanford University,1
"Espino, Elisenda Eva Espino and Gonz\'{a}lez, Carina Soledad Gonz\'{a}lez",ETH Zurich,1
F. -C. Ou Yang,University of Cambridge,1
F. Alegre; J. Moreno; T. Dawson; E. E. Tanjong; D. H. Kirshner,Harvard University,1
F. C. Dancer; A. L. Tanner; M. M. Thomas,University of Sydney,1
F. C. Dancer; A. L. Tanner; M. N. Thomas; M. M. Thomas,Peking University,1
F. F. Moro; M. Paula Corrêa Angeloni; L. M. Rockenbach Tarouco; J. Bosco da Mota Alves,Peking University,1
F. F. da Silva; L. Beatrys Ruiz Aylon; D. E. Flôr,Harvard University,1
F. González-Pizarro; C. López; A. Vásquez; C. Castro,University of Cambridge,1
F. González; C. López; C. Castro,National University of Singapore,1
F. Gossen; D. Kühn; T. Margaria; A. -L. Lamprecht,Imperial College London,1
F. H. Noor; F. S. Mohamad; J. L. Minoi,University of Hong Kong,1
F. Heintz; L. Mannila; T. Färnqvist,University of Oxford,1
F. J. Agbo; S. T. Yigzaw; I. T. Sanusi; S. S. Oyelere; A. H. Mare,Stanford University,1
F. J. Díaz; N. Soledad Gómez; M. Catino,University of Cambridge,1
F. J. Valero-Cuevas; J. -W. Yi; D. Brown; R. V. McNamara; C. Paul; H. Lipson,Imperial College London,1
F. Kulanova; D. Baitureev; C. P. Singh,University of Cambridge,1
F. Li; Y. Chen; Y. Yu; B. Zhang; M. Sun,Yale University,1
F. Machuqueiro; J. Piedade,University of Melbourne,1
F. Moreno-Vera; L. León-Vera; J. Moreno-Motta; J. Guizado-Vasquez; M. Vera-Panez,University of Chicago,1
F. Niehaus; B. Kotze; A. Marais,MIT,1
F. Parsa; A. A. A. Moghadam; T. Ashuri,Princeton University,1
F. Pires; F. M. Maquine Lima; R. Melo; J. R. Serique Bernardo; R. de Freitas,Peking University,1
F. Quezada; L. Rojo-González; Ó. C. Vásquez,National University of Singapore,1
F. Sattar; M. Nawaz,MIT,1
F. Sattar; M. Nawaz,University of Chicago,1
F. Talavera-Mendoza; F. H. R. Paucar; D. A. U. Alarcón,National University of Singapore,1
F. Wang; H. Chen; T. Wang; X. Lan; S. Zhang,University of Hong Kong,1
F. Wang; H. Wang,Stanford University,1
F. Wang; L. Chen; W. Wang,Peking University,1
F. Xu; S. Zhang,Tsinghua University,1
F. Yu; H. Wang,University of Hong Kong,1
F. Zhao; S. Liu,MIT,1
"Faber, Hylke H. and van der Ven, Jan Salvador and Wierdsma, Menno D.M.",Tsinghua University,1
Fabillar J.P.; Once F.P.; Gabon V.A.,Harvard University,1
"Fagerlund, Janne",University of Melbourne,1
Fahmi R.; Noordin N.; Razak F.H.A.; Isa W.A.R.W.M.; Suhaimi A.I.H.,ETH Zurich,1
"Fairlie, Fiona",ETH Zurich,1
"Fairlie, Fiona",Imperial College London,1
"Falc\~{a}o, Taciana Pontual and Gomes, Tancicleide C. Sim\~{o}es and Albuquerque, Isabella Rocha",University of Cambridge,1
Faming Li; R. E. Skelton,Stanford University,1
Fan C.; Wu C.; Luan L.; Chen J.; Sun T.,University of Sydney,1
"Feldhausen, Russell and Weese, Joshua Levi and Bean, Nathan H.",Peking University,1
"Figueiredo, Jos\'{e} and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",National University of Singapore,1
Fikri M.; Zahri T.N.; Anggraini O.K.,ETH Zurich,1
Firdaus R.; Abdullah Y.; Abadi S.; Adnan M.H.M.; Nursari S.R.C.; Dewi D.A.,University of Melbourne,1
"Fleenor, Hillary",MIT,1
"Flinn, Michael B. and McGee, Kristine and Barnes, Katelyn and Morton, Haylee",University of Sydney,1
"Floyd, Lisa Anne",Yale University,1
"Floyd, Steven Paul and Sorbara, Luigi",Harvard University,1
Frincu S.; Frincu M.,University of Toronto,1
"Fronza, Ilenia and Corral, Luis and Pahl, Claus",Yale University,1
"Fronza, Ilenia and Ioini, Nabil El and Corral, Luis",University of Cambridge,1
"Fuhrmann, Tamar and Ahmed, Deeana Ijaz and Arikson, Len and Wirth, Mike and Miller, Mark L and Li, Ethan and Lam, Amy and Blikstein, Paulo and Riedel-Kruse, Ingmar",MIT,1
"Fuste, Anna and Schmandt, Chris",California Institute of Technology,1
G. Atayeva; P. Hojagulyyev; A. Ussayeva; Y. Orazov; A. Orazov,University of Oxford,1
G. Athanasiou; M. -A. Fengou; A. Beis; D. Lymberopoulos,University of Cambridge,1
G. Chen; Y. He; T. Yang,University of Chicago,1
G. D. Abowd,University of Melbourne,1
G. K. Venayagamoorthy,ETH Zurich,1
G. K. W. Wong; S. Jiang,California Institute of Technology,1
G. Manikutty,Princeton University,1
G. Ota; Y. Morimoto; H. Kato,Stanford University,1
G. Paravati; F. Lamberti; V. Gatteschi,University of Tokyo,1
G. Revana; K. Kavita; V. Madhavi,Peking University,1
G. Robles; J. Moreno-León; E. Aivaloglou; F. Hermans,California Institute of Technology,1
G. Tejera; G. Amorin; A. Sere; N. Capricho; P. Margenat; J. Visca,California Institute of Technology,1
G. Wang,Imperial College London,1
G. Yang; D. Saito; H. Washizaki; Y. Fukazawa,ETH Zurich,1
"Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",MIT,1
"Garc\'{\i}a-Pe\~{n}alvo, Francisco J. and Cruz-Benito, Juan",University of Hong Kong,1
"Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e}",ETH Zurich,1
"Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e} and Conde, Miguel \'{A}. and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}",California Institute of Technology,1
"Garc\'{\i}a-Pe\~{n}alvo, Francisco Jos\'{e} and Conde, Miguel \'{A}ngel and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}",University of Melbourne,1
"Garcia, Dan and Garcha, Sonia and Mukund, Madhavan and Shah, Vipul",California Institute of Technology,1
"Garcia, Leiny Y. and Parker, Miranda C. and Ojeda-Ramirez, Santiago and Warschauer, Mark",Peking University,1
"Garcia-Robles, Rocio and Fern\'{a}ndez-Cabaleiro, Santiago",University of Chicago,1
"Garvin, Megean and Killen, Heather and Plane, Jan and Weintrop, David",Yale University,1
"Gautam, Aakash and Bortz, Whitney Elaine Wall and Tatar, Deborah",Columbia University,1
"Gautam, Aakash and Bortz, Whitney and Tatar, Deborah",Yale University,1
Ge Q.,University of Melbourne,1
"Gendreau Chakarov, Alexandra and Biddy, Quentin and Runberg, Derek",Stanford University,1
"Gendreau Chakarov, Alexandra and Recker, Mimi and Jacobs, Jennifer and Van Horne, Katie and Sumner, Tamara",University of Tokyo,1
"George-Reyes, Carlos Enrique and Rocha Estrada, Francisco Javier and Glasserman-Morales, Leonardo David",MIT,1
"Gerini, Lorenzo and Delzanno, Giorgio and Guerrini, Giovanna and Solari, Fabio and Chessa, Manuela",National University of Singapore,1
Gharib A.; Hassanain N.A.; Maher A.; Shaapan R.M.; Aish A.; Elfeky M.; Ghoraba N.M.; El zefzafy W.M.; Zaky S.; Baki A.A.; Elsaied M.H.; Hegazy M.S.; Elsheikh M.S.,University of Chicago,1
"Ghosh, Ahana and Malva, Liina and Singla, Adish",Columbia University,1
Gomide J.A.L.; Moço A.C.R.; Tanaka L.T.R.; Alexandre M.R.A.; Roca T.P.; Vieira Dall'acqua D.S.; Costa Nunes Soares M.M.; Oliveira R.J.; Lima R.C.; Madurro J.M.; Brito-Madurro A.G.,University of Melbourne,1
Gong Chun-yan; Chen Chao-tian; Peng Ping; Xie Zan-fu,University of Sydney,1
"Gonz\'{a}lez, Yen Air Caballero and Mu\~{n}oz-Repiso, Ana Garc\'{\i}a-Valc\'{a}rcel",University of Chicago,1
"Gonz\'{a}lez, Yen Air Caballero and Mu\~{n}oz-Repiso, Ana Garc\'{\i}a-Valc\'{a}rcel",University of Hong Kong,1
"Gonz\'{a}lez-Gonz\'{a}lez, Carina S. and C\'{a}ceres-Garc\'{\i}a, Lorena and Violant-Holz, Ver\'{o}nica",University of Chicago,1
"Gonz\'{a}lez-Gonz\'{a}lez, Carina and Gonz\'{a}lez, Erika Herrera and Ruiz, Lorenzo Moreno and Infante-Moro, Alfonso and Guzm\'{a}n-Franco, Mar\'{\i}a D.",Stanford University,1
"Good, Jon",Tsinghua University,1
"Gouws, Lindsey Ann and Bradshaw, Karen and Wentworth, Peter",California Institute of Technology,1
"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van Veen, Klaas and Stoker, Idzard",Princeton University,1
"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van Veen, Klaas and Stoker, Idzard",University of Hong Kong,1
"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van de Grift, Wim and Stoker, Idzard",University of Melbourne,1
"Grgurina, Nata\v{s}a and Barendsen, Erik and van Veen, Klaas and Suhre, Cor and Zwaneveld, Bert",University of Hong Kong,1
Grimley D.C.; Atherton P.H.; Bick P.D.; Clarke L.; Hillman D.S.; Parsons D.J.,Harvard University,1
"Grizioti, Marianthi and Kynigos, Chronis",Peking University,1
"Grizioti, Marianthi and Kynigos, Chronis and Nikolaou, Maria-Stella",University of Tokyo,1
"Grover, Shuchi",University of Toronto,1
"Grover, Shuchi and Bienkowski, Marie and Snow, Eric",University of Sydney,1
"Grover, Shuchi and Dominguez, Ximena and Kamdar, Danae and Vahey, Phil and Moorthy, Savitha and Rafanan, Ken and Gracely, Sara",Peking University,1
"Grover, Shuchi and Fisler, Kathryn and Lee, Irene and Yadav, Aman",University of Sydney,1
"Guenaga, Mariluz and Menchaca, Iratxe and Garaizar, Pablo and Egu\'{\i}luz, Andoni",University of Hong Kong,1
"Guzdial, Mark and Kay, Alan and Norris, Cathie and Soloway, Elliot",National University of Singapore,1
H. -C. Chuang; C. -F. Hu; C. -C. Wu; Y. -T. Lin,University of Melbourne,1
H. -H. Wang,University of Melbourne,1
H. -I. Yang; P. Martin; D. Satterfield; R. Babbitt; J. Wong; M. Shelley; C. K. Chang,Harvard University,1
H. -L. Jeng; L. -W. Liu; C. -N. Chen,University of Tokyo,1
H. A. Klein,Princeton University,1
H. Al-Juboori; G. Noonan,National University of Singapore,1
H. Buttke; J. Krugel,MIT,1
H. Bučková; J. Dostál,Princeton University,1
H. C. B. Chan,Harvard University,1
H. C. Webb,Yale University,1
H. Cai; G. K. W. Wong,Harvard University,1
H. Castellanos; C. Vieira; A. Magana,Stanford University,1
H. Chateau-Laurent; F. Alexandre,University of Toronto,1
H. Ding,MIT,1
H. Ehsan; C. Ohland; T. Dandridge; M. Cardella,University of Sydney,1
H. Elhashemy; H. Abelson; T. Michaeli,University of Hong Kong,1
H. Gao; Y. Zhang; K. Wang; F. Yu; T. Li,University of Chicago,1
H. J. Jih; T. -Y. Huang; C. -C. Lin,University of Melbourne,1
H. Jamil,Stanford University,1
H. Jiang; M. Tang,ETH Zurich,1
H. Khandan; T. Terano,Yale University,1
H. Lee; W. Zhou; H. Bai; W. Meng; T. Zeng; K. Peng; S. Tong; T. Kumada,ETH Zurich,1
H. Lim,National University of Singapore,1
H. Liu; S. Li; Y. Xiao,University of Chicago,1
